Brooks, Kentucky	Census-designated places in Kentucky, Bullitt County, Kentucky
Charles Haughey	1925 births, 2006 deaths, Deaths from prostate cancer, Taoisigh of Ireland
Jack Lynch	1917 births, 1999 deaths, Taoisigh of Ireland, Deaths from stroke
Seán Lemass	1899 births, 1971 deaths, Deaths from lung cancer, Taoisigh of Ireland
John A. Costello	1891 births, 1976 deaths, Taoisigh of Ireland, People from Dublin
W. T. Cosgrave	1880 births, 1965 deaths, Irish politicians
Ali ihsan Yavuz	1969 births, Living people
Ernest Green	1941 births
Islamic Community of India	Islam in India
G-Eazy	American rap musicians, American record producers, Living people, 1989 births
Major Lazer	American DJs, American record producers, Hip hop bands, Musical groups established in 2008, Musical trios, Trap musicians, 2000s American music groups, 2008 establishments in the United States
Ralph Gonsalves	1946 births, Prime Ministers of Saint Vincent and the Grenadines, Lawyers, Current national leaders, Living people
Seaford, New York	Census-designated places in New York (state)
Clark County, Kentucky	1792 establishments in Kentucky, Kentucky counties
Russell County, Kentucky	1825 establishments in Kentucky, Kentucky counties
Webster County, Kentucky	1860 establishments in Kentucky, Kentucky counties
Metcalfe County, Kentucky	1860 establishments in Kentucky, Kentucky counties
Marshall County, Kentucky	Kentucky counties, Marshall County, Kentucky, 1842 establishments in Kentucky
Boston, Kentucky	Census-designated places in Kentucky
Hancock County, Kentucky	1820s establishments in Kentucky, 1829 establishments in the United States, Kentucky counties
Powell County, Kentucky	1850s establishments in Kentucky, 1852 establishments in the United States, Kentucky counties
Pendleton County, Kentucky	Kentucky counties, Pendleton County, Kentucky, 1798 establishments in Kentucky
Impact, Texas	Towns in Texas
Lawn, Texas	Towns in Texas
Trent, Texas	Towns in Texas
Tuscola, Texas	Cities in Texas
Potosi, Texas	Census-designated places in Texas
Merrick, New York	Census-designated places in New York (state), Hamlets in New York
East Atlantic Beach, New York	Census-designated places in New York (state), Hamlets in New York
Delavan, Minnesota	Cities in Minnesota
Perry County, Indiana	1810s establishments in Indiana Territory, 1814 establishments in the United States, Indiana counties
The Ernest Green Story	1993 movies
List of Sesame Street video games	Video game lists, Video games based on television shows, Sesame Street
Lompoc, California	Cities in California, Settlements in Santa Barbara County, California
DJ Snake	DJs, Hip hop musicians, Living people, Musicians from Paris, Pop musicians, Record producers, Trap musicians, 1986 births
Marcella (TV series)	2016 television series debuts, 2010s British drama television series, British crime drama television series, Detective television series, ITV television programmes, Television series set in London, English-language television programs
Fifth Harmony	American girl groups, American musical groups, 2012 establishments in the United States
Renzo Chiocchetti	1945 births, 2020 deaths, 1972 Winter Olympics, Italian Olympians, Skiers
Naughty Boy	1985 births, British DJs, British R&B musicians, British record producers, English pop musicians, English songwriters, British Muslims, Musicians from Hertfordshire, People from Watford, Living people
Reinbert de Leeuw	1938 births, 2020 deaths, Dutch composers, Dutch conductors, Dutch pianists, People from Amsterdam
Louis-Edmond Hamelin	1923 births, 2020 deaths, Canadian writers, Canadian educators, Geographers, Writers from Quebec
Decebal Traian Remeș	Romanian politicians, 1949 births, 2020 deaths
Chamber of Deputies (Romania)	Government of Romania
Marcel Ciolacu	1967 births, Living people, Presidents of the Chamber of Deputies (Romania)
Titus Corlățean	1968 births, Living people, Presidents of the Senate of Romania, Romanian diplomats
Blaze and the Monster Machines	Nickelodeon television series, English-language television programs
Robert Gibbs	1971 births, Living people, Democrats (United States), Businesspeople from Alabama
Grayson County, Kentucky	Kentucky counties, Grayson County, Kentucky, 1810s establishments in Kentucky, 1810 establishments in the United States
Dragoon	Military animals, Horse riding, War
