West Division (NHL)	National Hockey League divisions
Silliman University	Colleges and universities in the Philippines
Yut	Board games
Sujebi	Korean food, Soups
Kim Gu	1876 births, 1949 deaths, Anti-Communists, Korean educators, Terrorists, South Korean politicians, Murder victims, Autobiographers
Southern California	Geography of California
Chocolate brownie	Cakes
Military strategy	Military
Civilization IV	Civilization series, 2005 video games
Trenton-Robbinsville Airport	Airports in the United States, Buildings and structures in New Jersey, Transport in New Jersey
Jhalawan	Former subdivisions of Pakistan
Sarawan County	Former subdivisions of Pakistan
Swat (princely state)	Former subdivisions of Pakistan, Pakistani princely states
Marri-Bugti County	Former subdivisions of Pakistan
Shirley Jackson	1916 births, 1965 deaths, Writers from San Francisco, Writers from Vermont
Book Off	Books, Companies of Japan, 1990 establishments in Asia, 1990s establishments in Japan
Françoise Hardy	1944 births, Living people, French singers, French songwriters
Baekje	History of Korea, Former monarchies of Asia, Former countries in Asia, 18 BC establishments, 660 disestablishments, 7th century disestablishments in Asia
App Store (iOS)	Apple software
Monsters vs. Aliens	2009 science fiction movies, 2009 animated movies, 2009 3D movies, American animated movies, American science fiction movies, English-language movies, Saturn Award winning movies, Movies about giants, Movies set in California
Saturday Night's Main Event	World Wrestling Entertainment television programs, 1985 American television series debuts, 1992 television series endings, 1992 disestablishments in the United States
Generator (Bad Religion album)	1992 albums, Bad Religion albums, Punk albums
Niklas Hjalmarsson	1987 births, Arizona Coyotes players, Chicago Blackhawks players, Living people, Swedish ice hockey players, Stanley Cup champions, American Hockey League players, Swedish Hockey League players, Ice hockey defencemen
Dustin Byfuglien	1985 births, American Hockey League players, American ice hockey players, Atlanta Thrashers players, Brandon Wheat Kings players, Chicago Blackhawks players, Winnipeg Jets players, Living people, Sportspeople from Minneapolis, Minnesota, Prince George Cougars players, Sportspeople from Minnesota, Stanley Cup champions, Ice hockey defencemen
Ash (band)	British rock bands, Irish rock bands, Pop punk bands
Tomáš Kopecký	1982 births, American Hockey League players, Chicago Blackhawks players, Detroit Red Wings players, Lethbridge Hurricanes players, Living people, Slovak ice hockey players, Stanley Cup champions, Ice hockey centres
Trans woman	Transgender
Pat Sajak	1946 births, Living people, American television presenters, Television personalities from Chicago, American television talk show hosts, American bloggers
Magnum Crimen	Croatia, History, 1948 books
Salcea	Towns in Suceava County
Agra	Agra district, Cities and towns in Uttar Pradesh
Kim Seong-Su	1881 births, 1955 deaths, Anti-Communists, Korean educators, South Korean journalists, Vice Presidents of South Korea
Nuneaton	Towns in Warwickshire
Sarrasani	Entertainment in Germany
War language	Languages of Bangladesh, Languages of India
Supernova (South Korean band)	South Korean boy bands, J-pop bands, K-pop music groups, 2007 establishments in South Korea
Temple of Castor and Pollux	Ancient Rome, Ancient Greek and Roman temples and shrines
Sonic the Hedgehog 3	Sonic the Hedgehog games, 1994 video games, Platform games, Sega Genesis games, Video games developed in Japan, Video game sequels
Sheila Mello	1978 births, Living people, Brazilian actors, Brazilian models
Seattle Sounders FC	2000s establishments in Washington (state), 2007 establishments in the United States, American soccer teams, Sports in Seattle, Washington
Florence Ballard	1943 births, 1976 deaths, Deaths from coronary thrombosis, African American musicians, American R&B musicians, Cardiovascular disease deaths in the United States, Singers from Detroit, Michigan
Amanda Knox	1987 births, Living people, American criminals, People acquitted of murder, Writers from Seattle, Washington
Habilitation	Education
Solca	Towns in Suceava County
Bay of Campeche	Bays, Bodies of water of North America, Geography of Mexico, Campeche, Veracruz
Hi! Seoul Festival	Seoul, Festivals in Asia, 2003 establishments in South Korea
Mandu (dumpling)	Korean food
James Mason	1909 births, 1984 deaths, Actors from Yorkshire, British screenwriters, Cardiovascular disease deaths in Switzerland, Deaths from myocardial infarction, English movie actors, English movie producers, English stage actors, English television actors, Golden Globe Award winners, People from Huddersfield, Writers from Yorkshire
Eternal Sunshine of the Spotless Mind	2004 romance movies, 2004 drama movies, 2000s romantic drama movies, American romantic drama movies, English-language movies, Movies set in New York, American independent movies, Movies directed by Michel Gondry
Cecilia (novel)	English novels, English-language novels, 1782 books
Go-Stop	Card games, Korean culture
Edward Scissorhands	1990 drama movies, 1990 romance movies, 1990s fantasy movies, 1990s romantic drama movies, American fantasy movies, American romantic drama movies, English-language movies, Movies about suburbia, Saturn Award winners, 20th Century Fox movies
Lippstadt	Cities in North Rhine-Westphalia, Soest Rural District
Tteok	Korean food, Rice dishes
Pansori	Korean culture, 1913 establishments in Asia, 20th century establishments in South Korea
Lord of War	2005 movies, American crime thriller movies, English-language movies, Lionsgate movies
Westphalia	Geography of North Rhine-Westphalia, Regions of Germany
Empress Myeongseong	1851 births, 1895 deaths, Emperors and empresses
Callosamia promethea	Saturniidae
F.C. Barcelona	Spanish football clubs, Barcelona, Camp Nou, 1899 establishments in Europe, 1890s establishments in Spain
Negros Oriental	Provinces of the Philippines
Valencia, Negros Oriental	Settlements in the Philippines
Silla	History of Korea, 50s BC establishments, 930s disestablishments in Asia, 935 disestablishments
Ahn Cheol-soo	1962 births, Living people, People from Busan, South Korean businesspeople, Physicians, Computer scientists
Just-World phenomenon	Ethics, Logical fallacies
Chan Ho Park	1973 births, Living people, South Korean baseball players, Los Angeles Dodgers players, Texas Rangers players, San Diego Padres players, New York Mets players, Philadelphia Phillies players, New York Yankees players, Pittsburgh Pirates players, National League All-Stars
Metro Cammell	Defunct companies of the United Kingdom, Rail vehicles manufacturers, Birmingham, 1989 disestablishments in Europe, 1980s disestablishments in the United Kingdom
Ewha Girls' High School	Education in South Korea, Schools
André Segatti	Brazilian actors, Living people, 1972 births
London Underground rolling stock	London Underground electric multiple units, Locomotives, British railway-related lists, United Kingdom rolling stock
Giorgi Latsabidze	1978 births, Living people, Pianists, Composers, People from Tbilisi
Divergent boundary	Geology
Trevor Linden	1970 births, Canadian ice hockey centres, Ice hockey people from Alberta, Living people, Medicine Hat Tigers players, Montreal Canadiens players, New York Islanders players, Vancouver Canucks players, Washington Capitals players, Memorial Cup winners
Vincent Price	1911 births, 1993 deaths, Actors from St. Louis, Missouri, American movie actors, American stage actors, American television actors, American voice actors, Deaths from lung cancer, Yale University alumni
Framingham, Massachusetts	Cities in Massachusetts, 1700 establishments, 18th-century establishments in Massachusetts, 1700s establishments in the Thirteen Colonies
Resonance	Physics, Mechanical vibrations, Earthquake engineering
Satin bowerbird	Birds of Australia, Passeriformes
Kokborok language	Languages of Bangladesh, Languages of India, Tripura
Koch language	Languages of Bangladesh, Languages of India
Pope Gregory XIII	1502 births, 1585 deaths, Italian popes
George Augustine Taylor	1872 births, 1928 deaths, Artists from New South Wales, Aviators, Inventors, People from Sydney, Australian journalists
Carmichael number	Number theory
Richard Burton	1925 births, 1984 deaths, Alumni of the University of Oxford, British movie actors, British movie directors, British movie producers, British stage actors, British television actors, Cardiovascular disease deaths in Switzerland, Deaths from cerebral hemorrhage, Welsh actors, Commanders of the Order of the British Empire
Maple Ridge, British Columbia	Settlements in British Columbia
C.A. Belgrano	Argentine football clubs, Córdoba, Argentina, 1905 establishments in Argentina
Michael Clarke Duncan	Actors from Chicago, African-American movie actors, African-American television actors, African-American voice actors, Cardiovascular disease deaths in the United States, Deaths from myocardial infarction, Saturn Award winners, 1957 births, 2012 deaths
Children's Hearing	Children, Scotland
Papilioninae	Papilioninae
Carmit Bachar	Singers from Los Angeles, California, Pussycat Dolls, 1974 births, Living people
Lock (water transport)	Waterways, Gates
Ahl-e Haqq	Religions, Kurdistan
Trench foot	Diseases
Kutless	American rock bands, American hard rock bands, Grunge bands, Christian rock bands, Musical groups from Oregon, Musical groups established in 2000, 2000 establishments in the United States, 21st-century establishments in Oregon
Leah Remini	1970 births, Living people, American movie actors, American television actors, American voice actors, Actors from New York City
Bobby Allison	1937 births, Living people, American racecar drivers, Daytona 500 winners
Big Joe Turner	1911 births, 1985 deaths, American blues singers, Singers from Kansas City, Missouri, American R&B singers
James Dean	Actors from Indiana, American movie actors, American television actors, Bisexual people, LGBT actors, LGBT people from Indiana, Road accident deaths in California, 1931 births, 1955 deaths
Greg Biffle	1969 births, Living people, NASCAR drivers, American racecar drivers, Sportspeople from Washington
List of Mario series characters	Mario series characters, Lists of fictional characters
Anna Moffo	1932 births, 2006 deaths, Sopranos, Italian opera singers
Entrepreneur	Business
QBasic	Programming languages
Scratch (programming language)	Programming languages
Ponytail	Hairstyles
Volkswagen Passat	Front wheel drive vehicles, 1970s automobiles, 1980s automobiles, 1990s automobiles, 2000s automobiles, 2010s automobiles
Volkswagen Golf Variant	Volkswagen Golf, 1990s automobiles, 2000s automobiles, 2010s automobiles
Northanger Abbey	1810s books, Books by Jane Austen, English novels
Lexeme	Language
Phoneme	Language
History of the alphabet	Alphabet
Jerzy Buzek	1940 births, Living people, MEPs for Poland, Presidents of the European Parliament, Prime Ministers of Poland, Polish scientists
Honorary degree	Academic degrees
President of the European Parliament	Presidents of the European Parliament, European Union
Luigi Cherubini	1760 births, 1842 deaths, Classical era composers, Italian composers, Burials at Père Lachaise Cemetery
Mario Andretti	1940 births, Living people, American racecar drivers, Formula One drivers, IndyCar Series drivers
Maria Edgeworth	1767 births, 1849 deaths, English writers, English novelists
Ubuntu Studio	Software
Faisal Alam	1977 births, Living people, American LGBT people, Gay men, LGBT rights activists, Pakistani Muslims, People from Connecticut
Rick Rypien	1984 births, 2011 deaths, American Hockey League players, Canadian ice hockey centres, Ice hockey people from Alberta, Regina Pats players, Sportspeople who committed suicide, Suicides in Canada, Vancouver Canucks players
Centre (ice hockey)	Ice hockey positions
Glenda Jackson	1936 births, Living people, Academy Award winning actors, Actors from Cheshire, Drama Desk Award winners, Emmy Award winning actors, English movie actors, English politicians, English stage actors, English television actors, Former members of the British House of Commons for English constituencies, Golden Globe Award winning actors, London Borough of Camden, People from Birkenhead, Tony Award winning actors
ZTE	Companies of China, Technology companies of Asia, 1980s establishments in China
SuperCollider	Programming languages
Ryan Newman (racing driver)	NASCAR drivers, 1977 births, Daytona 500 winners, American racecar drivers, Sportspeople from Indiana, People from South Bend, Indiana, Living people
Cuboid	Polyhedra
Lucas Oil Stadium	National Football League venues, Sports buildings in the United States, Indianapolis, Indiana, Buildings and structures in Indiana, 2008 establishments in the United States, 21st-century establishments in Indiana
Lakas–CMD	Politics of the Philippines, Political parties in Asia
Sgt. Frog	Manga
I Vow to Thee, My Country	1920s songs, 20th-century British poems, 1921 works
List of Toronto subway and RT stations	Toronto Transit Commission, Rail transport lists, Rail transport in Canada
The Perfect Fool	1920s operas, 1923 works
Comet Hale–Bopp	Comets, 1997
Tech N9ne	1971 births, Living people, African American musicians, American rap musicians from Missouri, Musicians from Kansas City, Missouri, Singers from Kansas City, Missouri
Alex Wojciechowicz	1915 births, 1992 deaths, American football centers, Detroit Lions players, Philadelphia Eagles players, Sportspeople from New Jersey
Temerin	Settlements in Serbia
Philotheus Boehner	1901 births, 1955 deaths, Franciscans, German Roman Catholics
Selena Gomez	1992 births, Living people, Singers from Texas, Disney actors, American child actors, American movie actors, American television actors, American singers, American songwriters, American dancers, American musicians
Nudibranch	Gastropods
Sea slug	Gastropods
Anatole France	1844 births, 1924 deaths, French critics, French Nobel Prize winners, French novelists, French poets, Members of the Académie française, Pen names, Writers from Paris
Hurricane David	1979 Atlantic hurricane season, Category 5 Atlantic hurricanes, Deadly storms, 20th centuy in Haiti, 20th century in the Dominican Republic, 20th century in Puerto Rico, 1970s in Cuba, 20th century in the Bahamas, 1970s in Florida, 20th century in Georgia (U.S. state), 1979 in North America, Hurricanes in the Dominican Republic
Scaphopoda	Molluscs
Michael Polakovs	1923 births, 2009 deaths, Clowns, People from Riga
Coco the Clown	Clowns
Pipo de Clown	Clowns, Dutch television programmes
Coronel Fabriciano	Cities in Minas Gerais, Vale do Aço metropolitan area, 1948 establishments in South America, 1940s establishments in Brazil
Axillary bud	Plant tissues
Robert Lang	1970 births, Boston Bruins players, Chicago Blackhawks players, Czech ice hockey players, Czechoslovak ice hockey players, Detroit Red Wings players, Living people, Los Angeles Kings players, Montreal Canadiens players, Phoenix Coyotes players, Pittsburgh Penguins players, Washington Capitals players
Joel Quenneville	1958 births, American Hockey League players, Canadian ice hockey coaches, Canadian ice hockey defencemen, Chicago Blackhawks players, Colorado Rockies (NHL) players, Hartford Whalers players, Ice hockey people from Ontario, Jack Adams Award winners, Living people, New Jersey Devils players, Ontario Hockey League players, Stanley Cup champions, Toronto Maple Leafs players, Washington Capitals players
Three Cups of Tea	Autobiographies
Vladimir Teplyakov	Russian physicists, 1925 births, 2009 deaths, Recipients of the Order of Lenin
Donovan McNabb	Philadelphia Eagles players, Washington Redskins players, Minnesota Vikings players, American football quarterbacks, Sportspeople from Chicago, 1976 births, Living people
Fall to Pieces	Avril Lavigne songs, 2005 songs
Moritz Wagner	1813 births, 1887 deaths, Naturalists, German evolutionary biologists, Explorers
Africanized bee	Bees
Ipatinga	Cities in Minas Gerais, Vale do Aço metropolitan area, 1964 establishments in Brazil
Timóteo	Cities in Minas Gerais, Vale do Aço metropolitan area, 1964 establishments in Brazil
Mammal-like reptile	Paleontology, Taxonomy, Therapsids, Mammals
Cleidoic egg	Reptiles, Birds, Zoology, Developmental biology, Evolutionary biology, Biological reproduction
Terrapin	Turtles
Regions of Brazil	Regions of Brazil
Vale do Aço metropolitan area	Vale do Aço metropolitan area
Mantle (mollusc)	Molluscs
Carboniferous	Carboniferous
Mesozoic	Mesozoic
Palaeozoic	Palaeozoic
Blackjack	Card games
Phanerozoic	Phanerozoic
Skip-Bo	Card games
Ordovician	Palaeozoic
Silurian	Palaeozoic, Silurian
Devonian	Palaeozoic, Devonian
Proterozoic	Proterozoic
Cainozoic	Cainozoic
Bill Elliott	NASCAR drivers, American racecar drivers, 1955 births, Living people
Dolhasca	Towns in Suceava County
Siret	Towns in Suceava County
Default gateway	Networks, Computer networking
Token passing	Computing
Carrier sense multiple access	Communication
Archaean	Archaean
Barcelona Metro line 1	Barcelona Metro lines
Hadean	Hadean
Permian	Palaeozoic
Circus	Circuses
Markham, Ontario	Towns in Ontario
Matt Stajan	1983 births, Calgary Flames players, Canadian ice hockey centres, Ice hockey people from Ontario, Living people, Toronto Maple Leafs players, American Hockey League players, Ontario Hockey League players
Cajvana	Towns in Suceava County
Mount Athos	Mountains of Greece
Barcelona Metro line 9	Barcelona Metro lines
Barcelona Metro line 10	Barcelona Metro lines
Barcelona Metro line 2	Barcelona Metro lines
Sam Cooke	African American musicians, American guitarists, American singer-songwriters, American soul musicians, American R&B singers, American gospel musicians, American pop musicians, American soul singers, American pop singers, Musicians from Mississippi, 1931 births, 1964 deaths, American gospel singers
Catherine Morland	Characters in written fiction
Child abuse	Child abuse
Revised Julian calendar	Eastern Orthodox Church, Calendars
Hakha-Chin language	Languages of Bangladesh
Rajbanshi language	Languages of Bangladesh
Teen idol	Celebrities, Fandom
Hachinohe, Aomori	Cities in Japan, Settlements in Aomori Prefecture
Gerbstedt	Towns in Saxony-Anhalt
Miles Davis	1926 births, 1991 deaths, African American musicians, American composers, American jazz musicians, Autobiographers, Bandleaders, Deaths from pneumonia, Jazz composers, Musicians from Illinois, Trumpeters, People from Alton, Illinois, People from East St. Louis, Illinois, Warner Bros. Records artists
Bandleader	Bandleaders, Entertainment occupations
Neglect	Society
Josef Mysliveček	1737 births, 1781 deaths, Classical era composers, Czech composers
Ainaži	Towns in Latvia, 1926 establishments in Latvia
Aizkraukle	Towns in Latvia, 1967 establishments in Europe, 20th century establishments in Latvia
Aizpute	Towns in Latvia, 1370s establishments in Europe, 14th century establishments in Latvia, 1378 establishments
Aknīste	Towns in Latvia, 1991 establishments in Latvia
Aloja, Latvia	Towns in Latvia, 1992 establishments in Latvia
Alūksne	Towns in Latvia, 1920 establishments in Europe, 1920s establishments in Latvia
Ape, Latvia	Towns in Latvia, 1928 establishments in Latvia
Auce	Towns in Latvia, 1924 establishments in Europe, 1920s establishments in Latvia
Baldone	Towns in Latvia, 1991 establishments in Latvia
Baloži	Towns in Latvia, 1991 establishments in Latvia
Balvi	Towns in Latvia, 1928 establishments in Latvia
Bauska	Towns in Latvia, 1600s establishments in Europe, 17th century establishments in Latvia, 1609 establishments
Broceni	Towns in Latvia, 1992 establishments in Latvia
Cēsis	Towns in Latvia, 1206 establishments in Europe, Establishments in Latvia
Cesvaine	Towns in Latvia, 1991 establishments in Latvia
Dagda, Latvia	Towns in Latvia, 1992 establishments in Latvia
Dobele	Towns in Latvia, 1917 establishments in Latvia
Durbe	Towns in Latvia, 1893 establishments in Europe, Establishments in Latvia
Grobiņa	Towns in Latvia, 1695 establishments, 17th century establishments in Latvia, 1690s establishments in Europe
Gulbene	Towns in Latvia, 1928 establishments in Latvia
Ikšķile	Towns in Latvia, 1992 establishments in Latvia
Ilūkste	Towns in Latvia, 1917 establishments in Latvia
Jaunjelgava	Towns in Latvia, 1647 establishments in Europe, 17th century establishments in Latvia
Jēkabpils	Towns in Latvia, 1670 establishments, 17th century establishments in Latvia, 1670s establishments in Europe
Kalnciems	Towns in Latvia, 1991 establishments in Latvia
Kandava	Towns in Latvia, 1917 establishments in Latvia
Kārsava	Towns in Latvia, 1928 establishments in Latvia
Krāslava	Towns in Latvia, 1923 establishments in Europe, 1920s establishments in Latvia
Kuldīga	Kuldīga, Towns in Latvia, 1370s establishments in Europe, 14th century establishments in Latvia, 1378 establishments
Paul-Henri Thiry, Baron d'Holbach	1723 births, 1789 deaths, Philosophers
Ķegums	Towns in Latvia, 1993 establishments in Latvia
Lielvārde	Towns in Latvia, 1992 establishments in Latvia
Līgatne	Towns in Latvia, 1993 establishments in Latvia
Limbaži	Towns in Latvia, 1385 establishments, 14th century establishments in Latvia
Līvāni	Towns in Latvia, 1926 establishments in Latvia
Lubāna	Towns in Latvia, 1992 establishments in Latvia
Ludza	Towns in Latvia, 1777 establishments, Establishments in Latvia, 1770s establishments in Europe
Madona	Towns in Latvia, 1926 establishments in Latvia
Mazsalaca	Towns in Latvia, 1928 establishments in Latvia
Ogre, Latvia	Towns in Latvia, 1929 establishments in Europe, 1920s establishments in Latvia
Olaine	Towns in Latvia, 1967 establishments in Europe, 20th century establishments in Latvia
Pāvilosta	Towns in Latvia, 1991 establishments in Latvia
Piltene	Towns in Latvia, 1550s establishments in Europe, Establishments in Latvia, 1557 establishments
Pļaviņas	Towns in Latvia, 1927 establishments in Europe, 1920s establishments in Latvia
Preiļi	Towns in Latvia, 1928 establishments in Latvia
Priekule, Latvia	Towns in Latvia, 1928 establishments in Latvia
Rūjiena	Towns in Latvia, 1920 establishments in Europe, 1920s establishments in Latvia
Sabile	Towns in Latvia, 1917 establishments in Latvia
Salacgrīva	Towns in Latvia, 1928 establishments in Latvia
Salaspils	Towns in Latvia, 1993 establishments in Latvia
Saldus	Towns in Latvia, 1917 establishments in Latvia
Saulkrasti	Towns in Latvia, 1991 establishments in Latvia
Seda, Latvia	Towns in Latvia, 1991 establishments in Latvia
Sigulda	Towns in Latvia, 1928 establishments in Latvia
Skrunda	Towns in Latvia, 1996 establishments in Europe, 1990s establishments in Latvia
Smiltene	Towns in Latvia, 1920 establishments in Europe, 1920s establishments in Latvia
Staicele	Towns in Latvia, 1992 establishments in Latvia
Stende	Towns in Latvia, 1991 establishments in Latvia
Strenči	Towns in Latvia, 1928 establishments in Latvia
Subate	Towns in Latvia, 1917 establishments in Latvia
Talsi	Towns in Latvia, 1917 establishments in Latvia
Tukums	Towns in Latvia, 1795 establishments, Establishments in Latvia, 1790s establishments in Europe
Valdemārpils	Towns in Latvia, 1917 establishments in Latvia
Valka	Towns in Latvia, 1584 establishments, Establishments in Latvia, 1580s establishments in Europe
Valmiera	Towns in Latvia, 1323 establishments, 14th century establishments in Latvia, 1320s establishments in Europe
Vangaži	Towns in Latvia, 1991 establishments in Latvia
Varakļāni	Towns in Latvia, 1928 establishments in Latvia
Viesīte	Towns in Latvia
Viļaka	Towns in Latvia
Viļāni	Towns in Latvia
Zilupe	Towns in Latvia
Frederick Sanger	1918 births, 2013 deaths, British Nobel Prize winners, Commanders of the Order of the British Empire, Companions of Honour, English biochemists, Fellows of the Royal Society, English molecular biologists, Order of Merit, People from Gloucestershire
List of settlements in Latvia	Settlements in Latvia, Lists of settlements in Europe
Mats Sundin	1971 births, Hockey Hall of Fame inductees, Living people, Olympic gold medalists, Sportspeople from Stockholm, Quebec Nordiques players, Swedish ice hockey players, Toronto Maple Leafs players, Vancouver Canucks players, Swedish Hockey League players, Ice hockey centres
Khorasan Province	Provinces of Iran, 2014 disestablishments
Geoffrey Prior	1896 births, 1972 deaths, People of British India
Ambrose Dundas Flux Dundas	1899 births, 1973 deaths, People of British India, Isle of Man, Knights Commander of the Order of the Indian Empire, Order of the Star of India
Frederick Chalmers Bourne	1891 births, 1977 deaths, People of British India, Order of the Star of India, People from Kent
Francis Mudie	1890 births, 1976 deaths, People of British India, Governors of Bihar
George Cunningham (governor)	1888 births, 1964 deaths, People of British India
1899 Atlantic hurricane season	1899, Atlantic hurricane seasons
1890 Atlantic hurricane season	1890, Atlantic hurricane seasons
Paul Cézanne	1839 births, 1906 deaths, Aix-en-Provence, Deaths from pneumonia, French painters, Infectious disease deaths in France
Alice DeeJay	1990s Dutch music groups, 2000s Dutch music groups, Electronic music bands, Musical groups established in 1999, 1999 establishments in Europe, 1990s establishments in the Netherlands, Musical groups disestablished in 2002, 2002 disestablishments in Europe, Amsterdam
Myriapoda	Myriapods
Transcutaneous electrical nerve stimulation	Medical procedures
Fenwick Island, Delaware	Towns in Delaware
General American	Language
Thomas Linley the younger	1756 births, 1778 deaths, English composers, British violinists
Kaiane Aldorino	1986 births, Living people, British models, Gibraltar, Miss World winners
Thomas Linley the elder	1733 births, 1795 deaths, English composers, Musicians from Gloucestershire
Hypothetical imperative	Philosophy
William Boyce	1711 births, 1779 deaths, Baroque composers, Classical era composers, English composers
The Starry Night	1880s paintings, Dutch paintings, Paintings by Vincent van Gogh
Money Talks	1997 movies, American comedy movies, American action movies, English-language movies
Kalgan River	Rivers of Western Australia
Gas mask	Protective clothing, Headgear
George Whipple	1878 births, 1976 deaths, American academics, American Nobel Prize winners, American physicians, Scientists from New Hampshire, Yale University alumni
Milişăuţi	Towns in Suceava County
Fălticeni	Municipalities of Romania, Cities in Romania
Vicovu de Sus	Towns in Suceava County
George Minot	1885 births, 1950 deaths, American physicians, American Nobel Prize winners, Scientists from Boston, Massachusetts
Tertiary	Cainozoic
Quaternary	Cainozoic
ICal	Apple software, MacOS
Palaeogene	Cainozoic
Neogene	Cainozoic, Miocene
Palaeocene	Cainozoic
Byron Moreno	1969 births, Living people, People from Quito, Ecuadorian footballers
Eocene	Eocene, Cainozoic
Islam in Pakistan	Islam by country, Religion in Pakistan
Kashmir Smast	Kashmir
Lower Cretaceous	Cretaceous
Trio sonata	Musical forms
K/T extinction event	Geology, Dinosaurs, Meteorites, Extinction events, Mesozoic
John Rutter	1945 births, Living people, 20th century composers, 21st century composers, English composers
Danny Bonaduce	1959 births, Living people, Actors from Pennsylvania, Comedians from Pennsylvania, American radio personalities, American television personalities, American movie actors, American television actors, American radio actors, American child actors
Permian–Triassic extinction event	Geology, Meteorites, Extinction events
Camille Pissarro	French painters, 1830 births, 1903 deaths
Snowball Earth	Earth sciences, Climate, Proterozoic, Climate change
Rivallo	History of the United Kingdom
Pat Fenlon	1969 births, Living people, Irish footballers, Irish football managers, Sportspeople from Dublin
Victoria Wood	1953 births, 2016 deaths, Actors from Lancashire, British stand-up comedians, Cancer deaths in London, Comedians from Lancashire, English television actors, English television presenters, English television producers, English television writers, Television personalities from Lancashire, Writers from Lancashire
Niccolò Piccinni	1728 births, 1800 deaths, Italian composers, Classical era composers, People from Bari
William P. Murphy	1892 births, 1987 deaths, American physicians, American Nobel Prize winners, Scientists from Wisconsin
Silent Night	19th century songs, Christmas music
Indonesian Rupiah	Currency of Asia, 20th century establishments in Indonesia, 1946 establishments in Asia
Horseshoes	Games
Hans Spemann	1869 births, 1941 deaths, German doctors, German Nobel Prize winners
Henry Hallett Dale	1875 births, 1968 deaths, English chemists, Pharmacologists, Order of Merit, Knights and Dames Grand Cross of the Order of the British Empire, Fellows of the Royal Society, Presidents of the Royal Society, British Nobel Prize winners
Paul Dukas	1865 births, 1935 deaths, French composers, Burials at Père Lachaise Cemetery
List of extinction events	Extinction events, Science-related lists
Blaise Compaoré	People from Ouagadougou, Presidents of Burkina Faso, 1951 births, Living people
Mossi	Burkina Faso, Ethnic groups in Africa
Cassiopeia (constellation)	Constellations, Constellations listed by Ptolemy
Vikash Dhorasoo	1973 births, Living people, French footballers
Park Kun-Ha	1971 births, Living people, South Korean footballers, South Korean football managers
Willy Sagnol	1977 births, Living people, French footballers
Jathera	Religious buildings, Punjab, India
Ediacaran	Ediacaran
Ediacaran biota	Invertebrates, Lagerstätten, Ediacaran
Antonio de Trueba	1821 births, 1889 deaths, Spanish writers
Arrangement (music)	Musical terminology
Fernando Botero	1932 births, Living people, Colombian people, Painters, Sculptors
Abelian group	Algebra
Homing pigeon	Domesticated animals
Roberto de Assis Moreira	1971 births, Living people, Brazilian footballers, People from Porto Alegre
Rafael Scheidt	1976 births, Living people, Brazilian footballers, People from Porto Alegre
Alex Sandro Santana de Oliveira	1973 births, Living people, Brazilian footballers, People from Salvador, Bahia
David Soria Yoshinari	1977 births, Living people, Peruvian footballers, People from Lima
Mikaël Silvestre	1977 births, Living people, French footballers
Éric Abidal	1979 births, Living people, 2006 FIFA World Cup players, 2010 FIFA World Cup players, French footballers, Sportspeople from Lyon
Pavel Badea	1967 births, Living people, Romanian footballers, Romanian football managers
Julio Hernán Rossi	1977 births, Living people, Argentine footballers, Sportspeople from Buenos Aires
Regis Pitbull	1976 births, Living people, Brazilian footballers
Otto Loewi	1873 births, 1961 deaths, Austrian scientists, German doctors, Neuroscientists
Heinrich Lübke	1894 births, 1972 deaths, Order of Merit of the Federal Republic of Germany, Politicians from North Rhine-Westphalia, Presidents of Germany
Elisha Levy	1957 births, Living people, Israeli football managers, Israeli footballers, Jewish Israeli sportspeople, People from Jerusalem
List of WWE Raw guest hosts	WWE Raw, Sports lists
Transcription (music)	Musical notation
VY Canis Majoris	Red giants, Variable stars, Hypergiants
Royal Swedish Academy of Sciences	18th century establishments in Sweden, 1730s establishments in Europe, 1739 establishments, Sweden, Nobel Prize
Karolinska Institutet	Colleges and universities in Sweden, Nobel Prize, Stockholm
Florent Malouda	1979 births, Living people, French footballers
Wim Jonk	1966 births, Living people, Dutch footballers, Sportspeople from North Holland
Ramon Menezes Hubner	1972 births, Living people, Brazilian footballers
Reinhard Stumpf	1961 births, Living people, German footballers, Sportspeople from Hesse
Fumagalli	1977 births, Living people, Brazilian footballers
Osmar Donizete Cândido	1968 births, Living people, Brazilian footballers
Jan Veenhof	1969 births, Living people, Dutch footballers, People from Leeuwarden, Sportspeople from Friesland
Leonard Henriques da Silva	1982 births, Living people, Brazilian footballers
List of Scottish football stadiums by capacity	Football stadiums in Scotland, Sports lists
Swedish Academy	Language regulators, Nobel Prize, Stockholm, 1786 establishments in Europe, 18th century establishments in Sweden
Norwegian Nobel Committee	Norwegian Nobel Committee
Andaz Apna Apna	Indian movies, 1994 movies, Salman Khan
Karisma Kapoor	1974 births, Living people, Indian actors, People from Mumbai
Parides erithalion	Parides
Ava Gardner	Actors from North Carolina, American movie actors, American television actors, Deaths from pneumonia, Infectious disease deaths in England, 1922 births, 1990 deaths
Oswaldo Sánchez	1973 births, Living people, Mexican footballers, Association football goalkeepers
Costinha	1974 births, Living people, Portuguese footballers, Sportspeople from Lisbon
Shigeru Morioka	1973 births, Living people, Footballers from Ehime Prefecture, J1 League players, Gamba Osaka players, Kyoto Sanga FC players, Vissel Kobe players, Footballers at the 1996 Summer Olympics
Yoann Gourcuff	1986 births, Living people, French footballers
Daniel Sanabria	1977 births, Living people, Paraguayan footballers, People from Asunción
