William Lockhart	1841 births, 1900 deaths, Deaths from infectious disease, People of British India, Scottish people
Xeranthemum	Asteraceae
Afridi	Ethnic groups in Pakistan, Ethnic groups in Khyber Pakhtunkhwa
Joséphine de Beauharnais	1763 births, 1814 deaths, French royalty, House of Bonaparte
Helichrysum	Asteraceae
Xerochrysum bicolor	Asteraceae, Tasmania
Abbotsford House	Buildings and structures in Scotland
Walter Savage Landor	1775 births, 1864 deaths, English writers, English poets
Mihailo Živanović	1928 births, 1989 deaths, Classical musicians, Jazz musicians, Clarinetists, Serbian musicians, Yugoslavian people, Saxophonists, Songwriters, People from Belgrade
Nyakul Dawson	1930s births, 2007 deaths, Australian painters, Indigenous Australian artists, Artists from South Australia, Artists from Western Australia
