Shawn Colvin	American singer-songwriters, American pop musicians, Singers from South Dakota, Musicians from South Dakota, Writers from South Dakota, 1956 births, Living people
TRS-80	Computers
Cheryl Ladd	American movie actors, American writers, American television actors, Actors from South Dakota, 1951 births, Living people
Andrea True	1943 births, 2011 deaths, Actors from Tennessee, American pornographic actors, Cardiovascular disease deaths in the United States, Deaths from heart failure, Singers from Nashville, Tennessee
Chicago Board of Trade Building	Skyscrapers in Chicago, Art Deco buildings, Landmarks in Chicago, 20th century architecture, 1930 establishments in the United States, 1930s establishments in Illinois
Torrent salamander	Salamanders
Wood frog	Frogs
Desert froglet	Frogs
Moor frog	Frogs
California tree frog	Frogs
Ensatina	Salamanders
Foothill yellow-legged frog	Frogs
Centroleninae	Frogs
Dendrobatoidea	Poison dart frogs
Nahomi Kawasumi	1985 births, Living people, Footballers from Kanagawa Prefecture, Japan women's international footballers, Nadeshiko League players, INAC Kobe Leonessa players, Footballers at the 2012 Summer Olympics, 2011 FIFA Women's World Cup players, 2015 FIFA Women's World Cup players, 2008 AFC Women's Asian Cup players, 2010 AFC Women's Asian Cup players, 2014 AFC Women's Asian Cup players, 2018 AFC Women's Asian Cup players, Footballers at the 2010 Asian Games, Footballers at the 2014 Asian Games, Olympic medalists in football, Japanese Olympic silver medalists, Medalists at the 2012 Summer Olympics, FIFA Women's World Cup-winning players, AFC Women's Asian Cup-winning players, Asian Games medalists in football, Asian Games gold medalists for Japan, Asian Games silver medalists for Japan, Medalists at the 2010 Asian Games, Medalists at the 2014 Asian Games
Pediatric acute-onset neuropsychiatric syndrome (PANS)	Psychiatry, Neurology
Cattaro (Italian province)	Montenegro, 1940s in Italy, 1941 in Europe, 1942 in Europe, 1943 in Europe
A.N.T. Farm	American sitcoms, 2010s American television series, 2011 American television series debuts, 2014 American television series endings, Disney Channel shows, Television series by Disney, English-language television programs
Williams syndrome	Neurology, Syndromes
Aya Miyama	1985 births, Living people, Footballers from Chiba Prefecture, Japan women's international footballers, Nadeshiko League players, Nippon TV Tokyo Verdy Beleza players, Okayama Yunogo Belle players, Footballers at the 2008 Summer Olympics, Footballers at the 2012 Summer Olympics, 2003 FIFA Women's World Cup players, 2007 FIFA Women's World Cup players, 2011 FIFA Women's World Cup players, 2015 FIFA Women's World Cup players, 2003 AFC Women's Championship players, 2006 AFC Women's Asian Cup players, 2008 AFC Women's Asian Cup players, 2010 AFC Women's Asian Cup players, 2014 AFC Women's Asian Cup players, Footballers at the 2006 Asian Games, Footballers at the 2010 Asian Games, Footballers at the 2014 Asian Games, Olympic medalists in football, Japanese Olympic silver medalists, Medalists at the 2012 Summer Olympics, FIFA Women's World Cup-winning players, AFC Women's Asian Cup-winning players, Asian Games medalists in football, Asian Games gold medalists for Japan, Asian Games silver medalists for Japan, Medalists at the 2006 Asian Games, Medalists at the 2010 Asian Games, Medalists at the 2014 Asian Games
Henry Winkler	1945 births, Living people, Actors from Manhattan, American children's writers, American movie actors, American stage actors, American television actors, American television directors, American television producers, American voice actors, Comedians from New York City, Jewish American actors, Jewish American comedians, Jewish American writers, Jewish businesspeople, Golden Globe Award winning actors, Movie directors from New York City, Movie producers from New York City, Television personalities from New York City, Writers from Manhattan, Yale University alumni
Naomi Judd	American country musicians, Singers from Kentucky, Writers from Kentucky, 1946 births, Living people
Etsuko Inada	People from Osaka, 1924 births, 2003 deaths, Japanese figure skaters
Farnaz Ghazizadeh	1974 births, Living people, BBC television presenters, Iranian entertainers, Iranian journalists, People from Tehran, BBC newsreaders and journalists
Spear-thrower	Weapons, Indigenous Australian culture
Featherfoot	Indigenous Australian culture, Australian mythology
Marla Maples	1963 births, Living people, Actors from Georgia (U.S. state), American movie actors, Trump family
Mikantji	Geography of the Northern Territory, Indigenous Australian culture, Waterholes of Australia
Richard Simmons	1948 births, Living people, American television presenters, Actors from New Orleans, Louisiana
Gérard Desbois	Living people, 1958 births, Alumni of the École nationale de l'aviation civile, Aviation in France, French writers
Park Jung-yang	1872 births, 1959 deaths, Korean activists, South Korean politicians, Anti-Communists, Autobiographers
Gabrielle Carteris	Actors from Arizona, American television actors, 1961 births, Living people, People from Scottsdale, Arizona
