Oil tanker	Ship types
Winchester, Kentucky	Cities in Kentucky, County seats in Kentucky
Windy Hills, Kentucky	Cities in Kentucky
Wingo, Kentucky	Cities in Kentucky
Woodburn, Kentucky	Cities in Kentucky
Woodbury, Kentucky	Cities in Kentucky
Woodland Hills, Kentucky	Cities in Kentucky
Woodlawn, Kentucky	Cities in Kentucky
Woodlawn Park, Kentucky	Cities in Kentucky
Worthington, Kentucky	Cities in Kentucky
Worthington Hills, Kentucky	Cities in Kentucky
Worthville, Kentucky	Cities in Kentucky
Wurtland, Kentucky	Cities in Kentucky
Wildwood, Kentucky	Cities in Kentucky
Wilmore, Kentucky	Cities in Kentucky
Alexandria, Virginia	Cities in Virginia
Bedford, Virginia	Towns in Virginia, County seats in Virginia, 2013 establishments in the United States, 21st-century establishments in Virginia
Bristol, Virginia	Cities in Virginia
Buena Vista, Virginia	Cities in Virginia, 1890s establishments in the United States, 19th-century establishments in Virginia
Charlottesville, Virginia	Cities in Virginia, County seats in Virginia
Chesapeake, Virginia	Cities in Virginia
Colonial Heights, Virginia	Cities in Virginia
Covington, Virginia	Cities in Virginia, County seats in Virginia
Danville, Virginia	Cities in Virginia
Emporia, Virginia	Cities in Virginia, County seats in Virginia
Fairfax, Virginia	Cities in Virginia, County seats in Virginia, 1805 establishments in the United States, 19th-century establishments in Virginia
Falls Church, Virginia	Cities in Virginia
Franklin, Virginia	Cities in Virginia
Fredericksburg, Virginia	Cities in Virginia, 1720s establishments in the Thirteen Colonies, 1728 establishments, 18th-century establishments in Virginia
Galax, Virginia	Cities in Virginia
Hampton, Virginia	Hampton, Virginia
Hopewell, Virginia	Cities in Virginia
Lexington, Virginia	Cities in Virginia, County seats in Virginia
Manassas Park, Virginia	Cities in Virginia, 1975 establishments in the United States, 1970s establishments in Virginia
Manassas, Virginia	Cities in Virginia, County seats in Virginia
Martinsville, Virginia	Cities in Virginia, County seats in Virginia
Newport News, Virginia	Newport News, Virginia
Norton, Virginia	Cities in Virginia
Petersburg, Virginia	Cities in Virginia, 1750s establishments in the Thirteen Colonies
Poquoson, Virginia	Cities in Virginia
Radford, Virginia	Cities in Virginia
Roanoke, Virginia	Cities in Virginia
Salem, Virginia	Cities in Virginia, County seats in Virginia
Staunton, Virginia	Cities in Virginia, County seats in Virginia
Suffolk, Virginia	Cities in Virginia, 1740s establishments in the Thirteen Colonies
Waynesboro, Virginia	Cities in Virginia
Williamsburg, Virginia	Cities in Virginia, County seats in Virginia
Winchester, Virginia	Cities in Virginia, County seats in Virginia
Accomac, Virginia	Towns in Virginia, County seats in Virginia
Alberta, Virginia	Towns in Virginia
Altavista, Virginia	Towns in Virginia
Amherst, Virginia	Towns in Virginia, County seats in Virginia
Appalachia, Virginia	Towns in Virginia
Appomattox, Virginia	Towns in Virginia, County seats in Virginia
Ashland, Virginia	Towns in Virginia
Belle Haven, Accomack County, Virginia	Towns in Virginia
Berryville, Virginia	Towns in Virginia, County seats in Virginia
Big Stone Gap, Virginia	Towns in Virginia
Blacksburg, Virginia	Towns in Virginia, 1671 establishments, 1670s establishments in the Thirteen Colonies, 17th-century establishments in Virginia
Blackstone, Virginia	Towns in Virginia
Bloxom, Virginia	Towns in Virginia
Bluefield, Virginia	Towns in Virginia
Boones Mill, Virginia	Towns in Virginia
Bowling Green, Virginia	Towns in Virginia, County seats in Virginia
Boyce, Virginia	Towns in Virginia
Boydton, Virginia	Towns in Virginia, County seats in Virginia
Boykins, Virginia	Towns in Virginia
Branchville, Virginia	Towns in Virginia
Bridgewater, Virginia	Towns in Virginia
Broadway, Virginia	Towns in Virginia
Brodnax, Virginia	Towns in Virginia
Brookneal, Virginia	Towns in Virginia
Buchanan, Virginia	Towns in Virginia
Burkeville, Virginia	Towns in Virginia
Cape Charles, Virginia	Towns in Virginia
Capron, Virginia	Towns in Virginia
Cedar Bluff, Virginia	Towns in Virginia
Charlotte Court House, Virginia	Towns in Virginia, County seats in Virginia
Chase City, Virginia	Towns in Virginia
Cheriton, Virginia	Towns in Virginia
Chilhowie, Virginia	Towns in Virginia
Chincoteague, Virginia	Towns in Virginia
Christiansburg, Virginia	Towns in Virginia, County seats in Virginia
Claremont, Virginia	Towns in Virginia
Clarksville, Virginia	Towns in Virginia
Cleveland, Virginia	Towns in Virginia
Clifton Forge, Virginia	Towns in Virginia
Clifton, Virginia	Towns in Virginia
Clinchco, Virginia	Towns in Virginia
Clinchport, Virginia	Towns in Virginia
Clintwood, Virginia	Towns in Virginia, County seats in Virginia
Coeburn, Virginia	Towns in Virginia
Colonial Beach, Virginia	Towns in Virginia
Columbia, Virginia	Towns in Virginia
Courtland, Virginia	Towns in Virginia, County seats in Virginia
Craigsville, Virginia	Towns in Virginia
Crewe, Virginia	Towns in Virginia
Culpeper, Virginia	Towns in Virginia, County seats in Virginia, 1750s establishments in the Thirteen Colonies, 18th-century establishments in Virginia
Damascus, Virginia	Towns in Virginia
Dayton, Virginia	Towns in Virginia
Dendron, Virginia	Towns in Virginia
Dillwyn, Virginia	Towns in Virginia
Drakes Branch, Virginia	Towns in Virginia
Dublin, Virginia	Towns in Virginia
Duffield, Virginia	Towns in Virginia
Dumfries, Virginia	Towns in Virginia
Dungannon, Virginia	Towns in Virginia
Eastville, Virginia	Towns in Virginia, County seats in Virginia
Edinburg, Virginia	Towns in Virginia
Elkton, Virginia	Towns in Virginia
Exmore, Virginia	Towns in Virginia
Farmville, Virginia	Towns in Virginia, County seats in Virginia
Fincastle, Virginia	Towns in Virginia, County seats in Virginia
Floyd, Virginia	Towns in Virginia, County seats in Virginia
Fries, Virginia	Towns in Virginia
Front Royal, Virginia	Towns in Virginia, County seats in Virginia
Gate City, Virginia	Towns in Virginia, County seats in Virginia
Glade Spring, Virginia	Towns in Virginia
Glasgow, Virginia	Towns in Virginia
Glen Lyn, Virginia	Towns in Virginia
Gordonsville, Virginia	Towns in Virginia
Goshen, Virginia	Towns in Virginia
Gretna, Virginia	Towns in Virginia
Grottoes, Virginia	Towns in Virginia
Grundy, Virginia	Towns in Virginia, County seats in Virginia
Halifax, Virginia	Towns in Virginia, County seats in Virginia
Hallwood, Virginia	Towns in Virginia
Hamilton, Virginia	Towns in Virginia
Haymarket, Virginia	Towns in Virginia
Haysi, Virginia	Towns in Virginia
Herndon, Virginia	Towns in Virginia
Hillsboro, Loudoun County, Virginia	Towns in Virginia
Hillsville, Virginia	Towns in Virginia, County seats in Virginia
Honaker, Virginia	Towns in Virginia
Hurt, Virginia	Towns in Virginia
Independence, Virginia	Towns in Virginia, County seats in Virginia
Iron Gate, Virginia	Towns in Virginia
Irvington, Virginia	Towns in Virginia
Ivor, Virginia	Towns in Virginia
Jarratt, Virginia	Towns in Virginia
Jonesville, Virginia	Towns in Virginia, County seats in Virginia
Keller, Virginia	Towns in Virginia
Kenbridge, Virginia	Towns in Virginia
Keysville, Virginia	Towns in Virginia
Kilmarnock, Virginia	Towns in Virginia
La Crosse, Virginia	Towns in Virginia
Lawrenceville, Virginia	Towns in Virginia, County seats in Virginia
Lebanon, Virginia	Towns in Virginia, County seats in Virginia
Leesburg, Virginia	Towns in Virginia, County seats in Virginia
Louisa, Virginia	Towns in Virginia, County seats in Virginia
Lovettsville, Virginia	Towns in Virginia
Luray, Virginia	Towns in Virginia, County seats in Virginia
Madison, Virginia	Towns in Virginia, County seats in Virginia
Marion, Virginia	Towns in Virginia, County seats in Virginia
McKenney, Virginia	Towns in Virginia
Melfa, Virginia	Towns in Virginia
Middleburg, Virginia	Towns in Virginia
Middletown, Virginia	Towns in Virginia
Mineral, Virginia	Towns in Virginia
Monterey, Virginia	Towns in Virginia, County seats in Virginia
Montross, Virginia	Towns in Virginia, County seats in Virginia
Mount Crawford, Virginia	Towns in Virginia
Mount Jackson, Virginia	Towns in Virginia
Narrows, Virginia	Towns in Virginia
Nassawadox, Virginia	Towns in Virginia
New Castle, Virginia	Towns in Virginia, County seats in Virginia
New Market, Virginia	Towns in Virginia
Newsoms, Virginia	Towns in Virginia
Nickelsville, Virginia	Towns in Virginia
Occoquan, Virginia	Towns in Virginia
Onancock, Virginia	Towns in Virginia
Onley, Virginia	Towns in Virginia
Orange, Virginia	Towns in Virginia, County seats in Virginia
Painter, Virginia	Towns in Virginia
Pamplin City, Virginia	Towns in Virginia
Parksley, Virginia	Towns in Virginia
Pearisburg, Virginia	Towns in Virginia, County seats in Virginia
Pembroke, Virginia	Towns in Virginia
Pennington Gap, Virginia	Towns in Virginia
Phenix, Virginia	Towns in Virginia
Pocahontas, Virginia	Towns in Virginia
Port Royal, Virginia	Towns in Virginia
Pound, Virginia	Towns in Virginia
Pulaski, Virginia	Towns in Virginia, County seats in Virginia
Purcellville, Virginia	Towns in Virginia
Quantico, Virginia	Towns in Virginia
Remington, Virginia	Towns in Virginia
Rich Creek, Virginia	Towns in Virginia
Richlands, Virginia	Towns in Virginia
Ridgeway, Virginia	Towns in Virginia
Black-legged dart frog	Poison dart frogs
Junglefowl	Phasianidae, Birds of Asia
Red junglefowl	Phasianidae, Birds of Asia
Rocky Mount, Virginia	Towns in Virginia, County seats in Virginia
Round Hill, Loudoun County, Virginia	Towns in Virginia
Rural Retreat, Virginia	Towns in Virginia
Saltville, Virginia	Towns in Virginia
Saxis, Virginia	Towns in Virginia
Scottsburg, Virginia	Towns in Virginia
Scottsville, Virginia	Towns in Virginia
Shenandoah, Virginia	Towns in Virginia
Smithfield, Virginia	Towns in Virginia
South Boston, Virginia	Towns in Virginia
South Hill, Virginia	Towns in Virginia
St. Charles, Virginia	Towns in Virginia
St. Paul, Virginia	Towns in Virginia
Stanardsville, Virginia	Towns in Virginia, County seats in Virginia
Stanley, Virginia	Towns in Virginia
Stephens City, Virginia	Towns in Virginia
Stony Creek, Virginia	Towns in Virginia
Strasburg, Virginia	Towns in Virginia
Stuart, Virginia	Towns in Virginia, County seats in Virginia
Surry, Virginia	Towns in Virginia, County seats in Virginia
Tangier, Virginia	Towns in Virginia
Tappahannock, Virginia	Towns in Virginia, County seats in Virginia
Tazewell, Virginia	Towns in Virginia, County seats in Virginia
The Plains, Virginia	Towns in Virginia
Timberville, Virginia	Towns in Virginia
Toms Brook, Virginia	Towns in Virginia
Troutdale, Virginia	Towns in Virginia
Troutville, Virginia	Towns in Virginia
Urbanna, Virginia	Towns in Virginia
Victoria, Virginia	Towns in Virginia
Vienna, Virginia	Towns in Virginia
Vinton, Virginia	Towns in Virginia
Virgilina, Virginia	Towns in Virginia
Wachapreague, Virginia	Towns in Virginia
Wakefield, Virginia	Towns in Virginia
Warrenton, Virginia	Towns in Virginia, County seats in Virginia, 1810 establishments in the United States, 1810s establishments in Virginia
Warsaw, Virginia	Towns in Virginia, County seats in Virginia
Washington, Virginia	Towns in Virginia, County seats in Virginia
Waverly, Virginia	Towns in Virginia
Weber City, Virginia	Towns in Virginia
West Point, Virginia	Towns in Virginia
White Stone, Virginia	Towns in Virginia
Windsor, Virginia	Towns in Virginia
Wise, Virginia	Towns in Virginia, County seats in Virginia
Woodstock, Virginia	Towns in Virginia, County seats in Virginia
Wytheville, Virginia	Towns in Virginia, County seats in Virginia
Abingdon, Illinois	Cities in Illinois
Albion, Illinois	Cities in Illinois, County seats in Illinois
Aledo, Illinois	Cities in Illinois, County seats in Illinois
Alsip, Illinois	Villages in Illinois, Settlements in Cook County, Illinois, 1927 establishments in Illinois
Altamont, Illinois	Cities in Illinois
Amboy, Illinois	Cities in Illinois
Anna, Illinois	Cities in Illinois
Arcola, Illinois	Cities in Illinois
Ashley, Illinois	Cities in Illinois
Assumption, Illinois	Cities in Illinois
Athens, Illinois	Cities in Illinois
Atlanta, Illinois	Cities in Illinois
Auburn, Illinois	Cities in Illinois
Aurora, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in DuPage County, Illinois
Ava, Illinois	Cities in Illinois
Barry, Illinois	Cities in Illinois
Batavia, Illinois	Cities in Illinois, Settlements in DuPage County, Illinois, Suburbs of Chicago, Illinois
Beardstown, Illinois	Cities in Illinois
Belleville, Illinois	Cities in Illinois, County seats in Illinois
Belvidere, Illinois	Cities in Illinois, County seats in Illinois
Benld, Illinois	Cities in Illinois
Benton, Illinois	Cities in Illinois, County seats in Illinois
Berwyn, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Blue Island, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Braidwood, Illinois	Cities in Illinois
Breese, Illinois	Cities in Illinois
Bridgeport, Illinois	Cities in Illinois
Brookport, Illinois	Cities in Illinois
Bunker Hill, Illinois	Cities in Illinois
Burbank, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Bushnell, Illinois	Cities in Illinois
Byron, Illinois	Cities in Illinois
Cairo, Illinois	Cities in Illinois, County seats in Illinois
Calumet City, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Canton, Illinois	Cities in Illinois
Carbondale, Illinois	Cities in Illinois
Carlinville, Illinois	Cities in Illinois, County seats in Illinois
Carlyle, Illinois	Cities in Illinois, County seats in Illinois
Carmi, Illinois	Cities in Illinois, County seats in Illinois
Carrollton, Illinois	Cities in Illinois, County seats in Illinois
Carterville, Illinois	Cities in Illinois
Carthage, Illinois	Cities in Illinois, County seats in Illinois
Casey, Illinois	Cities in Illinois
Centralia, Illinois	Cities in Illinois
Centreville, Illinois	Cities in Illinois
Champaign, Illinois	Cities in Illinois
Charleston, Illinois	Cities in Illinois, County seats in Illinois
Chenoa, Illinois	Cities in Illinois
Chester, Illinois	Cities in Illinois, County seats in Illinois
Chicago Heights, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Chillicothe, Illinois	Cities in Illinois
Chrisman, Illinois	Cities in Illinois
Christopher, Illinois	Cities in Illinois
Clinton, Illinois	Cities in Illinois, County seats in Illinois
Coffeen, Illinois	Cities in Illinois
Colchester, Illinois	Cities in Illinois
Collinsville, Illinois	Cities in Illinois
Colona, Illinois	Cities in Illinois
Columbia, Illinois	Cities in Illinois
Country Club Hills, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Countryside, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Creal Springs, Illinois	Cities in Illinois
Crest Hill, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois
Crystal Lake, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois
Cuba, Illinois	Cities in Illinois
Dallas City, Illinois	Cities in Illinois
Danville, Illinois	Cities in Illinois, County seats in Illinois
Darien, Illinois	Cities in Illinois, Settlements in DuPage County, Illinois, Suburbs of Chicago, Illinois
DeKalb, Illinois	Cities in Illinois
Delavan, Illinois	Cities in Illinois
Des Plaines, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Dixon, Illinois	Cities in Illinois, County seats in Illinois
Du Quoin, Illinois	Cities in Illinois
Earlville, Illinois	Cities in Illinois
East Dubuque, Illinois	Cities in Illinois
East Moline, Illinois	Cities in Illinois
East Peoria, Illinois	Cities in Illinois
East St. Louis, Illinois	Cities in Illinois
Edwardsville, Illinois	Cities in Illinois, County seats in Illinois
Effingham, Illinois	Cities in Illinois, County seats in Illinois
El Paso, Illinois	Cities in Illinois
Eldorado, Illinois	Cities in Illinois
Elgin, Illinois	Cities in Illinois, Settlements in Cook County, Illinois
Elmhurst, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois, Settlements in DuPage County, Illinois
Elmwood Park, Illinois	Cities in Illinois, Settlements in Cook County, Illinois, Suburbs of Chicago, Illinois
Eureka, Illinois	Cities in Illinois, County seats in Illinois
Evanston, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Fairbury, Illinois	Cities in Illinois
Fairfield, Illinois	Cities in Illinois, County seats in Illinois
Fairview Heights, Illinois	Cities in Illinois
Farmer City, Illinois	Cities in Illinois
Farmington, Illinois	Cities in Illinois
Flora, Illinois	Cities in Illinois
Fox Lake, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois
Freeport, Illinois	Cities in Illinois, County seats in Illinois
Fulton, Illinois	Cities in Illinois
Galena, Illinois	Cities in Illinois, County seats in Illinois
Galesburg, Illinois	Cities in Illinois, County seats in Illinois
Galva, Illinois	Cities in Illinois
Geneseo, Illinois	Cities in Illinois
Geneva, Illinois	Cities in Illinois, County seats in Illinois, Suburbs of Chicago, Illinois
Genoa, Illinois	Cities in Illinois
Georgetown, Illinois	Cities in Illinois
Gibson City, Illinois	Cities in Illinois
Gillespie, Illinois	Cities in Illinois
Gilman, Illinois	Cities in Illinois
Girard, Illinois	Cities in Illinois
Golconda, Illinois	County seats in Illinois, Cities in Illinois
Goreville, Illinois	Cities in Illinois
Grafton, Illinois	Cities in Illinois
Grand Tower, Illinois	Cities in Illinois
Granite City, Illinois	Cities in Illinois
Grayslake, Illinois	Cities in Illinois
Grayville, Illinois	Cities in Illinois
Greenfield, Illinois	Cities in Illinois
Greenville, Illinois	Cities in Illinois, County seats in Illinois
Griggsville, Illinois	Cities in Illinois
Hamilton, Illinois	Cities in Illinois
Harrisburg, Illinois	Cities in Illinois, County seats in Illinois
Harvard, Illinois	Cities in Illinois
Harvey, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Havana, Illinois	Cities in Illinois, County seats in Illinois
Henry, Illinois	Cities in Illinois
Herrin, Illinois	Cities in Illinois
Hickory Hills, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Highland Park, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois
Highland, Illinois	Cities in Illinois
Highwood, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois
Hillsboro, Illinois	Cities in Illinois, County seats in Illinois
Hometown, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Hoopeston, Illinois	Cities in Illinois
Hurst, Illinois	Cities in Illinois
Jacksonville, Illinois	Cities in Illinois, County seats in Illinois
Jerseyville, Illinois	Cities in Illinois, County seats in Illinois
Johnston City, Illinois	Cities in Illinois
Joliet, Illinois	Cities in Illinois, County seats in Illinois, Suburbs of Chicago, Illinois, 1833 establishments in the United States, 1830s establishments in Illinois
Kankakee, Illinois	Cities in Illinois, County seats in Illinois
Keithsburg, Illinois	Cities in Illinois
Kewanee, Illinois	Cities in Illinois
Kinmundy, Illinois	Cities in Illinois
Knoxville, Illinois	Cities in Illinois
La Harpe, Illinois	Cities in Illinois
Lacon, Illinois	Cities in Illinois, County seats in Illinois
Lake Forest, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois
Lanark, Illinois	Cities in Illinois
LaSalle, Illinois	Cities in Illinois
Lawrenceville, Illinois	County seats in Illinois, Cities in Illinois
Le Roy, Illinois	Cities in Illinois
Lebanon, Illinois	Cities in Illinois
Leland Grove, Illinois	Cities in Illinois
Lena, Illinois	Cities in Illinois
Lewistown, Illinois	Cities in Illinois, County seats in Illinois
Lexington, Illinois	Cities in Illinois
Lincoln, Illinois	Cities in Illinois, County seats in Illinois
Lisle, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in DuPage County, Illinois
Litchfield, Illinois	Cities in Illinois
Lockport, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois
Lombard, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in DuPage County, Illinois
Macomb, Illinois	Cities in Illinois, County seats in Illinois
Macon, Illinois	Cities in Illinois
Madison, Illinois	Cities in Illinois
Marengo, Illinois	Cities in Illinois
Marion, Illinois	Cities in Illinois, County seats in Illinois
Markham, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Maroa, Illinois	Cities in Illinois
Marquette Heights, Illinois	Cities in Illinois
Marseilles, Illinois	Cities in Illinois
Marshall, Illinois	Cities in Illinois, County seats in Illinois
Martinsville, Illinois	Cities in Illinois
Mascoutah, Illinois	Cities in Illinois
Mason City, Illinois	Cities in Illinois
Mattoon, Illinois	Cities in Illinois
McHenry, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois
McLeansboro, Illinois	Cities in Illinois, County seats in Illinois
Mendota, Illinois	Cities in Illinois
Metropolis, Illinois	Cities in Illinois, County seats in Illinois
Midlothian, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Minonk, Illinois	Cities in Illinois
Mokena, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois
Moline, Illinois	Cities in Illinois
Momence, Illinois	Cities in Illinois
Monmouth, Illinois	Cities in Illinois, County seats in Illinois
Monticello, Illinois	Cities in Illinois, County seats in Illinois
Morris, Illinois	Cities in Illinois, County seats in Illinois
Morrison, Illinois	Cities in Illinois, County seats in Illinois
Mound City, Illinois	Cities in Illinois, County seats in Illinois
Mounds, Illinois	Cities in Illinois
Mount Carmel, Illinois	Cities in Illinois, County seats in Illinois
Mount Carroll, Illinois	Cities in Illinois, County seats in Illinois
Mount Olive, Illinois	Cities in Illinois
Mount Pulaski, Illinois	Cities in Illinois
Mount Sterling, Illinois	Cities in Illinois, County seats in Illinois
Mount Vernon, Illinois	Cities in Illinois, County seats in Illinois
Murphysboro, Illinois	Cities in Illinois, County seats in Illinois
Naperville, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in DuPage County, Illinois
Nashville, Illinois	Cities in Illinois, County seats in Illinois
Nason, Illinois	Cities in Illinois
Nauvoo, Illinois	Cities in Illinois
Neoga, Illinois	Cities in Illinois
New Boston, Illinois	Cities in Illinois
Newman, Illinois	Cities in Illinois
Newton, Illinois	Cities in Illinois, County seats in Illinois
Nokomis, Illinois	Cities in Illinois
Normal, Illinois	Cities in Illinois
North Chicago, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois
Northlake, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
O'Fallon, Illinois	Cities in Illinois
Oak Forest, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Oakbrook Terrace, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in DuPage County, Illinois
Oakland, Illinois	Cities in Illinois
Oglesby, Illinois	Cities in Illinois
Olney, Illinois	Cities in Illinois, County seats in Illinois
Oneida, Illinois	Cities in Illinois
Oregon, Illinois	Cities in Illinois, County seats in Illinois
Orient, Illinois	Cities in Illinois
Orland Park, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Ottawa, Illinois	Cities in Illinois, County seats in Illinois
Palos Heights, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Palos Hills, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Pana, Illinois	Cities in Illinois
Paris, Illinois	Cities in Illinois, County seats in Illinois
Park City, Illinois	Cities in Illinois
Park Ridge, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Paxton, Illinois	Cities in Illinois, County seats in Illinois
Pekin, Illinois	Cities in Illinois, County seats in Illinois
Peru, Illinois	Cities in Illinois
Petersburg, Illinois	Cities in Illinois, County seats in Illinois
Pinckneyville, Illinois	Cities in Illinois, County seats in Illinois
Pittsfield, Illinois	Cities in Illinois, County seats in Illinois
Plano, Illinois	Cities in Illinois
Pleasant Hill, Illinois	Villages in Illinois
Polo, Illinois	Cities in Illinois
Pontiac, Illinois	Cities in Illinois, County seats in Illinois
Princeton, Illinois	1830s establishments in Illinois, Cities in Illinois, County seats in Illinois
Prophetstown, Illinois	Cities in Illinois
Prospect Heights, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Red Bud, Illinois	Cities in Illinois
Robinson, Illinois	Cities in Illinois, County seats in Illinois
Rochelle, Illinois	Cities in Illinois
Rock Falls, Illinois	Cities in Illinois
Rock Island, Illinois	Cities in Illinois, County seats in Illinois
Rockford, Illinois	Rockford, Illinois, County seats in Illinois
Rolling Meadows, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Roodhouse, Illinois	Cities in Illinois
Rosiclare, Illinois	Cities in Illinois
Roxana, Illinois	Cities in Illinois
Rushville, Illinois	Cities in Illinois, County seats in Illinois
Salem, Illinois	Cities in Illinois, County seats in Illinois
Sandwich, Illinois	Cities in Illinois
Savanna, Illinois	Cities in Illinois
Sesser, Illinois	Cities in Illinois
Shawneetown, Illinois	Cities in Illinois, County seats in Illinois
Shelbyville, Illinois	Cities in Illinois, County seats in Illinois
Silvis, Illinois	Cities in Illinois
South Beloit, Illinois	Cities in Illinois
Sparta, Illinois	Cities in Illinois
Spring Valley, Illinois	Cities in Illinois
St. Charles, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in DuPage County, Illinois
St. Elmo, Illinois	Cities in Illinois
St. Francisville, Illinois	Cities in Illinois
Staunton, Illinois	Cities in Illinois
Sterling, Illinois	Cities in Illinois
Streamwood, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Streator, Illinois	Cities in Illinois
Sullivan, Illinois	Cities in Illinois, County seats in Illinois
Sumner, Illinois	Cities in Illinois
Sycamore, Illinois	Cities in Illinois, County seats in Illinois
Vandalia, Illinois	Cities in Illinois, Former United States state capitals, County seats in Illinois
Venice, Illinois	Cities in Illinois
Vienna, Illinois	Cities in Illinois, County seats in Illinois
Villa Grove, Illinois	Cities in Illinois
Villa Park, Illinois	Cities in Illinois, Settlements in DuPage County, Illinois, Suburbs of Chicago, Illinois
Virden, Illinois	Cities in Illinois
Virginia, Illinois	Cities in Illinois, County seats in Illinois
Wamac, Illinois	Cities in Illinois
Warrenville, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in DuPage County, Illinois
Warsaw, Illinois	Cities in Illinois
Washington, Illinois	Cities in Illinois
Waterloo, Illinois	Cities in Illinois, County seats in Illinois
Watseka, Illinois	Cities in Illinois, County seats in Illinois
Waukegan, Illinois	Cities in Illinois, County seats in Illinois, Suburbs of Chicago, Illinois
Waverly, Illinois	Cities in Illinois
Wenona, Illinois	Cities in Illinois
West Chicago, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in DuPage County, Illinois
West Frankfort, Illinois	Cities in Illinois
West Peoria, Illinois	Cities in Illinois
Wheaton, Illinois	Cities in Illinois, County seats in Illinois, Suburbs of Chicago, Illinois, Settlements in DuPage County, Illinois
White Hall, Illinois	Cities in Illinois
Wilmington, Will County, Illinois	Cities in Illinois
Winchester, Illinois	County seats in Illinois, Cities in Illinois
Windsor, Illinois	Cities in Illinois
Witt, Illinois	Cities in Illinois
Wood Dale, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois, Settlements in DuPage County, Illinois
Wood River, Illinois	Cities in Illinois
Woodstock, Illinois	Cities in Illinois, County seats in Illinois
Wyoming, Illinois	Cities in Illinois
Yorkville, Illinois	Cities in Illinois, County seats in Illinois
Zeigler, Illinois	Cities in Illinois
Zion, Illinois	Cities in Illinois, Suburbs of Chicago, Illinois
Real Time Streaming Protocol	Application layer protocols
Alexandria, Indiana	Cities in Indiana
Anderson, Indiana	Cities in Indiana, County seats in Indiana
Angola, Indiana	Cities in Indiana, County seats in Indiana
Attica, Indiana	Cities in Indiana
Auburn, Indiana	Cities in Indiana, County seats in Indiana
Aurora, Indiana	Cities in Indiana
Batesville, Indiana	Cities in Indiana
Bedford, Indiana	Cities in Indiana, County seats in Indiana
Beech Grove, Indiana	Cities in Indiana
Berne, Indiana	Cities in Indiana
