Oil tanker	Ship types
L'Hermenault	Communes in Vendée
L'Île-d'Elle	Communes in Vendée
L'Île-d'Olonne	Communes in Vendée
L'Oie	Former communes in Vendée
L'Orbrie	Communes in Vendée
La Barre-de-Monts	Communes in Vendée
La Bernardière	Communes in Vendée
La Boissière-de-Montaigu	Communes in Vendée
La Boissière-des-Landes	Communes in Vendée
La Bretonnière-la-Claye	Communes in Vendée
La Bruffière	Communes in Vendée
La Caillère-Saint-Hilaire	Communes in Vendée
La Chaize-Giraud	Communes in Vendée
La Chaize-le-Vicomte	Communes in Vendée
La Chapelle-Achard	Former communes in Vendée
La Chapelle-aux-Lys	Communes in Vendée
La Chapelle-Hermier	Communes in Vendée
La Chapelle-Palluau	Communes in Vendée
La Chapelle-Thémer	Communes in Vendée
La Châtaigneraie	Communes in Vendée
La Copechagnière	Communes in Vendée
La Couture, Vendée	Communes in Vendée
La Faute-sur-Mer	Communes in Vendée
La Ferrière, Vendée	Communes in Vendée
La Flocellière	Former communes in Vendée
La Garnache	Communes in Vendée
La Gaubretière	Communes in Vendée
La Génétouze	Communes in Vendée
La Guérinière	Communes in Vendée
La Guyonnière	Former communes in Vendée
La Jaudonnière	Communes in Vendée
La Jonchère	Communes in Vendée
La Meilleraie-Tillay	Communes in Vendée
La Merlatière	Communes in Vendée
La Mothe-Achard	Former communes in Vendée
La Pommeraie-sur-Sèvre	Former communes in Vendée
La Rabatelière	Communes in Vendée
La Réorthe	Communes in Vendée
La Roche-sur-Yon	Communes in Vendée, Departmental capitals in France
La Taillée	Communes in Vendée
La Tardière	Communes in Vendée
La Tranche-sur-Mer	Communes in Vendée
La Verrie	Former communes in Vendée
Lairoux	Communes in Vendée
Landeronde	Communes in Vendée
Landevieille	Communes in Vendée
Le Bernard	Communes in Vendée
Le Boupère	Communes in Vendée
Le Champ-Saint-Père	Communes in Vendée
Le Fenouiller	Communes in Vendée
Le Girouard	Communes in Vendée
Le Givre	Communes in Vendée
Le Gué-de-Velluire	Communes in Vendée
Le Langon	Communes in Vendée
Le Mazeau	Communes in Vendée
Le Perrier	Communes in Vendée
Le Poiré-sur-Velluire	Former communes in Vendée
Le Poiré-sur-Vie	Communes in Vendée
Le Tablier	Communes in Vendée
Les Brouzils	Communes in Vendée
Les Châtelliers-Châteaumur	Former communes in Vendée
Les Clouzeaux	Former communes in Vendée
Les Epesses	Communes in Vendée
Les Essarts, Vendée	Former communes in Vendée
Les Herbiers	Communes in Vendée
Les Landes-Genusson	Communes in Vendée
Les Lucs-sur-Boulogne	Communes in Vendée
Les Magnils-Reigniers	Communes in Vendée
Les Pineaux	Communes in Vendée
Les Sables-d'Olonne	Communes in Vendée, Subprefectures in France
Liez, Vendée	Communes in Vendée
Loge-Fougereuse	Communes in Vendée
Longèves, Vendée	Communes in Vendée
Longeville-sur-Mer	Communes in Vendée
Luçon	Communes in Vendée
Maché	Communes in Vendée
Maillé, Vendée	Communes in Vendée
Maillezais	Communes in Vendée
Mallièvre	Communes in Vendée
Mareuil-sur-Lay-Dissais	Communes in Vendée
Marillet	Communes in Vendée
Marsais-Sainte-Radégonde	Communes in Vendée
Martinet, Vendée	Communes in Vendée
Menomblet	Communes in Vendée
Mervent	Communes in Vendée
Mesnard-la-Barotière	Communes in Vendée
Monsireigne	Communes in Vendée
Montaigu, Vendée	Former communes in Vendée
Montournais	Communes in Vendée
Montreuil, Vendée	Communes in Vendée
Moreilles	Communes in Vendée
Mormaison	Former communes in Vendée
Mortagne-sur-Sèvre	Communes in Vendée
Mouchamps	Communes in Vendée
Mouilleron-en-Pareds	Former communes in Vendée
Mouilleron-le-Captif	Communes in Vendée
Moutiers-les-Mauxfaits	Communes in Vendée
Moutiers-sur-le-Lay	Communes in Vendée
Mouzeuil-Saint-Martin	Communes in Vendée
Nalliers, Vendée	Communes in Vendée
Nesmy	Communes in Vendée
Nieul-le-Dolent	Communes in Vendée
Nieul-sur-l'Autise	Former communes in Vendée
Noirmoutier-en-l'Île	Communes in Vendée
Notre-Dame-de-Monts	Communes in Vendée
Notre-Dame-de-Riez	Communes in Vendée
Olonne-sur-Mer	Former communes in Vendée
Oulmes	Former communes in Vendée
Palluau	Communes in Vendée
Péault	Communes in Vendée
Petosse	Communes in Vendée
Pissotte	Communes in Vendée
Poiroux	Communes in Vendée
Pouillé, Vendée	Communes in Vendée
Pouzauges	Communes in Vendée
Puy-de-Serre	Communes in Vendée
Puyravault, Vendée	Communes in Vendée
Réaumur, Vendée	Communes in Vendée
Rocheservière	Communes in Vendée
Rochetrejoux	Communes in Vendée
Rosnay, Vendée	Communes in Vendée
Saint-André-Goule-d'Oie	Communes in Vendée
Saint-André-Treize-Voies	Former communes in Vendée
Saint-Aubin-des-Ormeaux	Communes in Vendée
Saint-Aubin-la-Plaine	Communes in Vendée
Saint-Avaugourd-des-Landes	Communes in Vendée
Saint-Benoist-sur-Mer	Communes in Vendée
Saint-Christophe-du-Ligneron	Communes in Vendée
Saint-Cyr-des-Gâts	Communes in Vendée
Saint-Cyr-en-Talmondais	Communes in Vendée
Saint-Denis-du-Payré	Communes in Vendée
Saint-Denis-la-Chevasse	Communes in Vendée
Saint-Étienne-de-Brillouet	Communes in Vendée
Saint-Étienne-du-Bois, Vendée	Communes in Vendée
Saint-Florent-des-Bois	Former communes in Vendée
Saint-Fulgent	Communes in Vendée
Saint-Georges-de-Montaigu	Former communes in Vendée
Saint-Georges-de-Pointindoux	Communes in Vendée
Saint-Germain-de-Prinçay	Communes in Vendée
Saint-Germain-l'Aiguiller	Former communes in Vendée
Saint-Gervais, Vendée	Communes in Vendée
Saint-Gilles-Croix-de-Vie	Communes in Vendée
Saint-Hilaire-de-Loulay	Former communes in Vendée
