Kenning	Medieval literature, Poetry, Iceland
George Hearn	Drama Desk Award winners, Emmy Award winning actors, Tony Award winning actors, 1934 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from St. Louis, Missouri, Actors from New York City, Singers from St. Louis, Missouri, Singers from New York City
Essex, New York	Towns in New York
Kenneth Braithwaite	1960 births, Living people, Ambassadors of the United States, United States Secretaries of the Navy, Businesspeople from Pennsylvania, Politicians from Pennsylvania, Businesspeople from Michigan, Politicians from Michigan, US Republican Party politicians
Livonia, Michigan	Cities in Michigan
Wanda Ventham	1935 births, Living people, Actors from Sussex, English movie actors, English stage actors, English television actors, People from Brighton
Timothy Carlton	Living people, 1939 births, English movie actors, English stage actors, English television actors, Actors from Berkshire, Actors from Oxfordshire
Derren Nesbitt	1935 births, Living people, English movie actors, English television actors, English stage actors, People convicted of assault, Writers from London, Writers from Sussex, Actors from London, Actors from Sussex
Anne Aubrey	1937 births, Living people, English movie actors, English television actors, English stage actors, Actors from London
Sylvia Syms	1934 births, English movie actors, English television actors, English stage actors, Living people, Actors from London, Alumni of the Royal Academy of Dramatic Art
Dodi Fayed	1955 births, 1997 deaths, People from Alexandria, Movie producers, Road accident deaths
Derek Fowlds	1937 births, 2020 deaths, Deaths from pneumonia, Deaths from sepsis, Deaths from heart failure, Actors from London, Alumni of the Royal Academy of Dramatic Art, English movie actors, English stage actors, English television actors
William Gaunt	Alumni of the Royal Academy of Dramatic Art, English television actors, English stage actors, English radio actors, English movie actors, 1937 births, Living people, Actors from Yorkshire
Barry Cryer	1935 births, Living people, English movie actors, English television actors, English television writers, English comedians, Writers from Yorkshire, Actors from Yorkshire
Wendy Craig	BAFTA Award winning actors, 1934 births, Living people, English movie actors, English television actors
Jess Conrad	1936 births, Living people, English pop singers, English movie actors, English television actors, English stage actors, Actors from London, Singers from London
Lionel Blair	1928 births, Living people, English movie actors, English television actors, English dancers, English television presenters, Choreographers, Actors from Montreal, Actors from London
Tishomingo County, Mississippi	1836 establishments in Mississippi, Mississippi counties
Scott County, Mississippi	1833 establishments in Mississippi, Mississippi counties
Stone County, Mississippi	20th-century establishments in Mississippi, 1916 establishments in the United States, Mississippi counties
Tallahatchie County, Mississippi	1833 establishments in Mississippi, Mississippi counties
Walthall County, Mississippi	20th-century establishments in Mississippi, 1910 establishments in the United States, Mississippi counties
Tylertown, Mississippi	Towns in Mississippi, County seats in Mississippi
Tate County, Mississippi	1870s establishments in Mississippi, 1873 establishments in the United States, Mississippi counties
Sofia the First	2010s American television series, 2012 anime television series, 2013 American television series debuts, 2018 television series endings, American children's television series, American fantasy television series, Animated television series, Annie Award winners, Fantasy television series, Fictional princesses, Television series by Disney
Dodson, Louisiana	Villages in Winn Parish, Louisiana
Calvin, Louisiana	Villages in Winn Parish, Louisiana
Atlanta, Louisiana	Villages in Winn Parish, Louisiana
Sikes, Louisiana	Villages in Winn Parish, Louisiana
Warren County, Mississippi	1800s establishments in Mississippi Territory, 1809 establishments in the United States, Mississippi counties
Rankin County, Mississippi	1820s establishments in Mississippi, 1828 establishments in the United States, Mississippi counties
Da Chen	1962 births, 2019 deaths, Deaths from lung cancer, Cancer deaths in California, American novelists, Chinese novelists, Naturalized citizens of the United States, Writers from California
Poplarville, Mississippi	Cities in Mississippi, County seats in Mississippi
Allee Willis	Grammy Award winners, 1947 births, 2019 deaths, Deaths from cardiac arrest, Cardiovascular disease deaths in Los Angeles, American songwriters, Writers from Detroit, Michigan, Musicians from Detroit, Michigan, Writers from Los Angeles, California, Musicians from Los Angeles, California
I'll Be There for You (The Rembrandts song)	1995 songs
The Rembrandts	Musical duos, American pop rock bands, Musical groups from Los Angeles, California
Jacques Bravo	1943 births, 2019 deaths, Politicians from Paris
Gordon J. Humphrey	1940 births, Living people, United States senators from New Hampshire, State legislators of the United States, Independent politicians in the United States, US Republican Party politicians, Politicians from Connecticut
Cass County, Indiana	1820s establishments in Indiana, 1829 establishments in the United States, Indiana counties
Tippah County, Mississippi	1836 establishments in Mississippi, Mississippi counties
Lucedale, Mississippi	Cities in Mississippi, County seats in Mississippi
Douglass, Kansas	Cities in Butler County, Kansas, 1869 establishments in Kansas
Yummy (song)	2020 songs, R&B songs
Washington County, Mississippi	1820s establishments in Mississippi, 1827 establishments in the United States, Mississippi counties
Wittelsheim	Communes in Haut-Rhin
Blossom, Texas	Cities in Texas
Del Amitri	Scottish rock bands, Musical groups from Glasgow
Division of Spence	Electoral divisions of Australia
Frame rate	Movie industry, Graphics
Screen tearing	Graphics
Emsley A. Laney High School	20th-century establishments in North Carolina, 1976 establishments in the United States, Schools in the United States, Buildings and structures in North Carolina
Sidney, Nebraska	Cities in Nebraska, County seats in Nebraska
Tunica County, Mississippi	1836 establishments in Mississippi, Mississippi counties
Wilkinson County, Mississippi	1800s establishments in Mississippi Territory, 1802 establishments in the United States, Mississippi counties
Winston County, Mississippi	1833 establishments in Mississippi, Mississippi counties
Martin J. Schreiber	1939 births, Living people, Governors of Wisconsin, Lieutenant Governors of Wisconsin, State legislators of the United States, Writers from Milwaukee, Wisconsin, Politicians from Milwaukee, Wisconsin, Businesspeople from Milwaukee, Wisconsin, US Democratic Party politicians
Yazoo County, Mississippi	1820s establishments in Mississippi, 1823 establishments in the United States, Mississippi counties
Bob Wade (artist)	1943 births, 2019 deaths, Deaths from cardiac arrest, Cardiovascular disease deaths in Texas, American sculptors, People from Austin, Texas
Táňa Fischerová	1947 births, 2019 deaths, Deaths from cancer, Czech politicians, Czech writers, Czech actors, Television presenters, Civil rights activists, People from Prague
Karel Schwarzenberg	1937 births, Living people, Czech politicians, People from Prague
Vladimir Bushin	1924 births, 2019 deaths, Deaths from cardiopulmonary arrest, Essayists, Critics, Activists, Columnists, Writers from Moscow
David Lee Roth	1954 births, Living people, American rock singers, American singer-songwriters, American heavy metal singers, American heavy metal musicians, American radio personalities, American rock guitarists, Singers from Indiana, Musicians from Indiana, Writers from Indiana, People from Bloomington, Indiana
Ari Behn	1972 births, 2019 deaths, People who committed suicide, Danish writers, Norwegian writers, Norwegian royalty
Princess Märtha Louise of Norway	1971 births, Living people, Princes and princesses, Norwegian royalty, People from Oslo
Queen Sonja of Norway	1937 births, Living people, Kings and Queens of Norway, People from Oslo
Lommedalen	Settlements in Norway
George Eastham	1936 births, Sportspeople from Liverpool, Living people, English footballers, People from Blackpool
Roger Hunt	1938 births, 2021 deaths, English footballers, Sportspeople from Lancashire
Terry Paine	1939 births, Living people, Sportspeople from Hampshire, English footballers, English football managers
Norman Hunter	1943 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United Kingdom, Sportspeople from County Durham, English footballers, English football managers
