Kenning	Medieval literature, Poetry, Iceland
Ron Flowers	1934 births, Living people, People from Doncaster, English footballers, English football managers
George Cohen	1939 births, Living people, Sportspeople from London, English footballers
Maurice Norman	1934 births, Living people, Sportspeople from Norfolk, English footballers
Alan Peacock	1937 births, Living people, Sportspeople from Yorkshire, English footballers
Bryan Douglas	1934 births, Living people, English footballers, Sportspeople from Lancashire
Peter Swan	1936 births, 2021 deaths, Sportspeople from Yorkshire, English footballers, English football managers
Maurice Setters	1936 births, 2020 deaths, Deaths from Alzheimer's disease, English footballers, People from Devon, English football managers
Colin McDonald	1930 births, Living people, English footballers, Sportspeople from Manchester
Tommy Banks	English footballers, Sportspeople from Lancashire, 1929 births, Living people
Freehold Borough, New Jersey	Boroughs in New Jersey, County seats in New Jersey, Monmouth County, New Jersey
Clark County, Indiana	1800s establishments in Indiana Territory, 1801 establishments in the United States, Indiana counties
Clinton County, Indiana	1830 establishments in Indiana, Indiana counties
Crawford County, Indiana	1818 establishments in Indiana, Indiana counties
Daviess County, Indiana	1818 establishments in Indiana, Indiana counties
Anneli Jäätteenmäki	1955 births, Prime Ministers of Finland, Speakers of the Parliament of Finland, Living people
Franklin County, Indiana	1811 establishments in Indiana Territory, Indiana counties
Bowie, Texas	Cities in Texas
Nocona, Texas	Cities in Texas
Saint Jo, Texas	Cities in Texas
Alamo Heights, Texas	Cities in Texas
Fair Oaks Ranch, Texas	Cities in Texas
Schertz, Texas	Cities in Texas
Elmendorf, Texas	Cities in Texas
Leon Valley, Texas	Cities in Texas
Fallout 76	Fallout series, 2018 video games, PlayStation 4 games, Xbox One games, Windows games
Diet of Worms	Holy Roman Empire, Lutheranism, Martin Luther, Protestant Reformation, Protestantism in Germany, History of Germany, Rhineland-Palatinate, Worms, Germany
Dual in-line package	Electronic circuits
Adrian Zandberg	1979 births, Polish politicians, Polish historians, Computer scientists, Living people
Todd Howard	Living people, Video game designers, People from Pennsylvania
Clarksdale, Mississippi	Cities in Mississippi, County seats in Mississippi
2039	2039, Years in the future
Sergei Karimov	1986 births, 2019 deaths, Kazakhstani sportspeople, Footballers
Dario Antoniozzi	1923 births, 2019 deaths, MEPs for Italy, Former MEPs
Peter Schreier	1935 births, 2019 deaths, German conductors, Tenors
Sleepy LaBeef	1935 births, 2019 deaths, American rock singers, American rock guitarists, American singer-songwriters, American gospel singers, American gospel musicians, American blues singers, American blues musicians, American movie actors, Actors from Arkansas, Musicians from Arkansas, Singers from Arkansas, Writers from Arkansas
Galina Volchek	1933 births, 2019 deaths, Deaths from pneumonia, Soviet movie actors, Russian movie actors, Russian movie directors, Russian politicians, Soviet politicians, Russian educators, Actors from Moscow
Graham T. Allison	1940 births, Living people, American political scientists, American educators, American political writers, American political commentators, American critics, Writers from Charlotte, North Carolina
Robert D. Putnam	1941 births, Living people, American political scientists, American political writers, Writers from New York, Writers from Ohio, People from Rochester, New York
Port Clinton, Ohio	Cities in Ohio, County seats in Ohio
Robert Banas	1933 births, Living people, American dancers, American movie actors, American stage actors, American television actors, Actors from New York City
Richard Beymer	1938 births, American movie actors, American television actors, American stage actors, American painters, American novelists, American sculptors, Living people, Actors from Iowa, Writers from Iowa
Jimmy Bryant (singer)	1929 births, Living people, American composers, Writers from Birmingham, Alabama, Singers from Birmingham, Alabama
Arthur Laurents	Tony Award winners, Drama Desk Award winners, 1917 births, 2011 deaths, Deaths from pneumonia, Disease-related deaths in New York City, American playwrights, American novelists, American military personnel of World War II, American autobiographers, LGBT writers, Gay men, LGBT people from New York City, Screenwriters from New York City
Quogue, New York	Villages in New York
Phil Ruffin	1936 births, Living people, American billionaires, Businesspeople from Texas, People from Amarillo, Texas, Businesspeople from Las Vegas, Nevada
Aureus	Former currencies, Former currencies of Europe, Ancient Rome
Jerry Herman	Tony Award winners, Grammy Award winners, Drama Desk Award winners, Kennedy Center honorees, 1931 births, 2019 deaths, Deaths from lung disease, Disease-related deaths in Florida, People with HIV/AIDS, American composers, American songwriters, Jewish American writers, Jewish American musicians, American autobiographers, American pianists, LGBT musicians, Gay Jews, LGBT composers, LGBT songwriters, People from Jersey City, New Jersey, LGBT people from New York City, LGBT people from New Jersey, LGBT people from Florida, Writers from Miami, Florida, Writers from New York City, Writers from New Jersey, Musicians from New Jersey, Musicians from Miami, Florida, Musicians from New York City
Adam DeVine	1983 births, Living people, American movie actors, American television actors, American voice actors, American television producers, American television writers, American screenwriters, Writers from Iowa, Actors from Iowa, Singers from Iowa, People from Waterloo, Iowa
Hack and slash	Video game gameplay, Video game genres
Sachse, Texas	Cities in Texas, Settlements in Dallas County, Texas
Lowry Crossing, Texas	Cities in Texas
Celina, Texas	Cities in Texas
Allen, Texas	Cities in Texas
The Colony, Texas	Cities in Texas
Ennis, Texas	Cities in Texas
Hurst, Texas	Cities in Texas, Settlements in Tarrant County, Texas
Dalworthington Gardens, Texas	Cities in Texas, Settlements in Tarrant County, Texas
Azle, Texas	Cities in Texas, Settlements in Tarrant County, Texas
Hudson Oaks, Texas	Cities in Texas
Bovina, Texas	Cities in Texas
Mirasi	Punjabi people
Friona, Texas	Cities in Texas
Appleby, Texas	Cities in Texas
Chireno, Texas	Cities in Texas
Cushing, Texas	Cities in Texas
Garrison, Texas	Cities in Texas
Haslet, Texas	Cities in Texas, Settlements in Tarrant County, Texas
Justin, Texas	Cities in Texas
Roanoke, Texas	Cities in Texas
Dearborn County, Indiana	1800s establishments in Indiana Territory, 1803 establishments in the United States, Indiana counties
Ball, Louisiana	Towns in Louisiana
Boyce, Louisiana	Towns in Louisiana
Decatur County, Indiana	1822 establishments in Indiana, Indiana counties
Warren Park, Indiana	Towns in Indiana
Austwell, Texas	Cities in Texas
Italy, Texas	Towns in Texas
Brazos Bend, Texas	Cities in Texas
Perryton, Texas	Cities in Texas, County seats in Texas
Shaheed	Arabic words and phrases
Fallout 2	1998 video games, Windows games, MacOS games, Fallout series
Tim Cain	Living people, Video game designers, American LGBT people
Richmond, British Columbia	Cities in British Columbia, 2010 Winter Olympics
The Ones Who Walk Away From Omelas	Short stories, Science fiction
The Wind's Twelve Quarters	Fantasy, Short story collections, Hainish Cycle
Kim (Korean surname)	Korean-language surnames
Angela Rayner	1980 births, Living people, Labour MPs (UK), UK MPs 2015–2017, UK MPs 2017–2019, UK MPs 2019–, Trade unionists, People from Greater Manchester
Ronald Melzack	1929 births, 2019 deaths, Canadian scientists, Canadian psychologists, Canadian educators, Editors, Writers from Montreal
Lee Mendelson	Emmy Award winners, 1933 births, 2019 deaths, Deaths from lung cancer, Cancer deaths in California, American television producers, American movie producers, Businesspeople from San Francisco
Hillsborough, California	Towns in California, Settlements in San Mateo County, California, Cities in the San Francisco Bay Area
Don Imus	1940 births, 2019 deaths, American DJs, American television presenters, American radio personalities, People with cancer, Comedians from California, Comedians from New York City, Writers from California, Writers from New York City
LeRoy Zimmerman	People from Harrisburg, Pennsylvania, US Republican Party politicians, Politicians from Pennsylvania, American lawyers, Living people, 1934 births
J. Charles Jones	1937 births, 2019 deaths, Deaths from sepsis, Deaths from Alzheimer's disease, American lawyers, American civil rights activists, People from Chester, South Carolina, Businesspeople from Charlotte, North Carolina
Chester, South Carolina	Cities in South Carolina, County seats in South Carolina
Allison Feaster	1976 births, Living people, African-American basketball players, Sportspeople from South Carolina, People from Chester, South Carolina, American basketball players
Freedom Riders	American civil rights activists
Student Nonviolent Coordinating Committee	American civil rights activists
Sterling Marlin	Living people, 1957 births, Sportspeople from Tennessee, NASCAR drivers
Columbia, Tennessee	Cities in Tennessee, County seats in Tennessee
Maury County, Tennessee	Tennessee counties
Fred Lorenzen	1934 births, Living people, American racecar drivers, NASCAR drivers, Sportspeople from Illinois
Rona Ambrose	1969 births, Living people, Politicians from Alberta, Privy Councillors (Canada), Leaders of the Opposition (Canada), Members of the House of Commons of Canada
Leader of the Official Opposition (Canada)	Leaders of the Opposition (Canada)
Bill Graham (Canadian politician)	1939 births, Living people, Canadian lawyers, Politicians from Montreal, Privy Councillors (Canada), Leaders of the Opposition (Canada), Members of the House of Commons of Canada from Ontario, Canadian Queen's Counsel
Guccio Gucci	1881 births, 1953 deaths, Italian fashion designers, British fashion designers, People from Florence
Hugo Boss	Companies of Germany, Fashion houses, Baden-Württemberg
Hugo Boss (fashion designer)	1885 births, 1948 deaths, German businesspeople, Fashion designers, Nazis
Roy Raymond	1947 births, 1993 deaths, Suicides by jumping in the United States, American fashion designers, Businesspeople from San Francisco, Businesspeople from Connecticut, People from Stamford, Connecticut
Louis Vuitton (designer)	French fashion designers, 1821 births, 1892 deaths
LVMH	French fashion houses
Charles Lewis Tiffany	1812 births, 1902 deaths, Businesspeople from New York City, Businesspeople from Connecticut
