Collingwood, Victoria	Melbourne
Lower Silesian Voivodeship	1999 establishments in Europe, Voivodeships of Poland
Unterhaching	Munich Rural District
Air France-KLM	Airlines of Europe, Airlines of France
Oberschleißheim	Munich Rural District
Gräfelfing	Munich Rural District
Neuried, Bavaria	Munich Rural District
Oberhaching	Munich Rural District
Upper Bavaria	Upper Bavaria
Ansbach	Ansbach (district), Towns in Bavaria
Kempten	Swabia, Bavaria
USA Today	Newspapers in the United States, 1982 establishments in the United States, English-language television programs
Cologne Cathedral	Buildings and structures in North Rhine-Westphalia, Cathedrals in Germany, Cologne, Roman Catholic Cathedrals, World Heritage Sites in Germany, 1248 establishments, 1240s establishments in Europe, 13th-century establishments in Germany
T.N.T. (album)	AC/DC albums, 1975 albums, Hard rock albums, Rock and roll albums, Blues rock albums
Taxi (TV series)	1978 establishments in the United States, 1978 television series debuts, 1983 disestablishments in the United States, 1970s American sitcoms, 1970s American workplace television series, 1970s workplace comedy television series, 1980s American sitcoms, 1980s American workplace television series, 1980s workplace comedy television series, American workplace comedy television series, NBC network shows, Television series about friendship, Television series set in New York City, English-language television programs
Amiens Cathedral	Roman Catholic Cathedrals, Cathedrals in France, Amiens, World Heritage Sites in France
Auburn University	Colleges and universities in Alabama, Oak Ridge Associated Universities, Southeastern Conference, 1856 establishments in the United States, 1850s establishments in Alabama
Baltimore Orioles	Baltimore Orioles, 1900s establishments in the United States, 20th-century establishments in Maryland
Arizona Diamondbacks	Arizona Diamondbacks, Sports in Phoenix, Arizona, 1998 establishments in the United States, 1990s establishments in Arizona
Atlanta Braves	Atlanta Braves, Sports in Milwaukee, Wisconsin, 1871 establishments in the United States
Colorado Rockies	Colorado Rockies
Miami Marlins	Miami Marlins, 1993 establishments in Florida
Houston Astros	Houston Astros, 1962 establishments in the United States, 1960s establishments in Texas
Dizzy Gillespie	1917 births, 1993 deaths, American jazz musicians, Bahá'ís, Cancer deaths in New Jersey, Deaths from pancreatic cancer, Musicians from South Carolina, Trumpeters
Ganz (toy company)	Companies of Canada, 1950 establishments in North America, 1950s establishments in Canada
John Dowland	1563 births, 1626 deaths, English composers, Lutenists, Renaissance composers
Partsong	Vocal music
Nin Cathedral	Cathedrals, Croatia, Buildings and structures in Europe
Neume	Musical notation
Masovian Voivodeship	1990s establishments in Poland, 1999 establishments in Europe, Voivodeships of Poland
Steelyard	Areas of London
Hazard symbol	Symbols
Pictogram	Symbols
Świętokrzyskie Voivodeship	Voivodeships of Poland
Commensalism	Symbiosis
820s	820s
Lindane	Chemical compounds
Fumaric acid	Acids, Organic compounds
Tinia	Etruscan gods and goddesses
Endospore	Microbiology, Biochemistry
WonderSwan Color	Handheld video games
Gel electrophoresis	Chemistry, Biochemistry, Laboratory techniques
Heinrich Schliemann	1822 births, 1890 deaths, German archaeologists, People from Mecklenburg-Vorpommern
Cyclone Nargis	Cyclone Nargis, Tropical cyclones in Asia, Deadly storms, 2008 in weather
Toilet paper	Waste, Hygiene, Paper
Fox Interactive	Video game companies, 1982 establishments in California, News Corporation
Sauropod	Sauropods
Blockade	War, Law of the sea, Conflicts
Bursa	Bursa, Ottoman Empire
2008 United States presidential election	2008 in the United States, Barack Obama, 2008 elections, United States presidential elections, November 2008 events
2008 Democratic Party presidential primaries	2008 elections, 2008 in the United States, United States presidential primary elections, United States Democratic Party
Theodor Schwann	1810 births, 1882 deaths, German biologists
Dubbo	Cities in New South Wales
Antiwar.com	Websites, War, Libertarianism, 1995 establishments in the United States
Barium chloride	Chlorine compounds, Barium compounds
North Atlantic Treaty	1940s treaties, NATO, 20th century in Washington, D.C., 1949
Blockade of Germany	World War I
LeBron James	LeBron James, 1984 births, Living people, African-American basketball players, American Olympic bronze medalists, American Olympic gold medalists, Los Angeles Lakers players, Cleveland Cavaliers players, Miami Heat players, American movie actors, Sportspeople from Akron, Ohio, Actors from Akron, Ohio, National Basketball Association high school draftees, American basketball players
Silesian Voivodeship	Voivodeships of Poland
First Battle of the Atlantic	Battles of World War I, 1910s in Europe
Sukhoi	Soviet military aircraft, Military aviation
Biomedical engineering	Engineering, Medicine
This Love (The Veronicas song)	2008 songs, Pop songs
VeggieTales	Children's television series, Mass media franchises introduced in the 1990s, 1993 television series debuts
Kroppenstedt	Towns in Saxony-Anhalt
Righteousness	Theology
I Decided	2008 songs, Soul songs
Here I Stand	2008 albums, Usher albums
Social equality	Civil rights
JavaServer Pages	Programming languages, Sun Microsystems
Match	Basic English 850 words, Tools, Fire
Bill Gothard	1934 births, Living people, American Evangelicals, Christian religious leaders, Christian writers, Writers from Chicago
Institute in Basic Life Principles	Christian organizations based in the United States
Master of Arts	Academic degrees
American Fork River	Rivers of Utah
Frank O'Connor	1897 births, 1979 deaths, Actors from Ohio, American movie actors, American painters, Ranchers
Alma mater	Educational institutions
Amplitude modulation	Mechanical vibrations, Radio technology
Sam Allardyce	1954 births, Living people, English footballers, English football managers, England national football team managers, Sportspeople from West Midlands (county)
Chief Constable	Law enforcement in the United Kingdom
Hugh Orde	Northern Ireland people
Candy Lo	1974 births, Living people, C-pop singers, C-rock, Actors from Hong Kong, Singers from Hong Kong
Say It Right	2007 songs, Nelly Furtado, R&B songs
Greater Poland Voivodeship	1999 establishments in Europe, Voivodeships of Poland
Northumbria	Northumberland, History of England, Anglo-Saxons
Hanging (death)	Death
Moons of Mars	Moons of Mars
James Horner	1953 births, 2015 deaths, Academy Award winning composers, Satellite Award winners, Accidental deaths in California, Aviation deaths in the United States, American movie score composers, Golden Globe Award winners, Grammy Award winners, People from Los Angeles, California, Saturn Award winners, Best Original Song Academy Award-winning songwriters
MP3 player	Electronics, Audio technology
Wi-Fi Protected Access	Computer networking
Wired Equivalent Privacy	Computer networking
Congress of Vienna	1810s treaties, 1810s in Europe, 19th century in Austria, 1814, 1815, Vienna
Coin collecting	Money, Collecting, Coins
Blood Red Shoes	English rock bands, Indie bands, Brighton, Musical groups established in 2005, 2005 establishments in England
Bret Hart	Hart family members, 1957 births, Living people, Canadian professional wrestlers, Canadian stage actors, Canadian television actors, Former WWE wrestlers, Sportspeople from Calgary, WWE Hall of Fame
La Grange, Illinois	Villages in Illinois, Suburbs of Chicago, Illinois, Settlements in Cook County, Illinois
Eurovision Song Contest 2008	2008 in music, 2008 in Europe, Belgrade, Eurovision Song Contest, History of Serbia
All We Know	Paramore songs, 2006 songs
Misery Business	Paramore songs, 2007 songs
Wesfarmers	Companies of Australia
Pressure (Paramore song)	Paramore songs, 2006 songs
Hazelwood North, Victoria	Towns in Victoria (Australia)
Hasselt	Municipalities of Limburg, Provincial capitals of Belgium
Focus on the Family	Focus on the Family, 1977 establishments in the United States, 1970s establishments in Colorado
Adventures in Odyssey	Adventures in Odyssey, 1987 establishments in the United States, 1980s establishments in Colorado
Youth for Christ	Christian organizations
Henry Luce	1898 births, 1967 deaths, American journalists, writers from Connecticut
Big Bear Lake, California	Cities in California, Settlements in San Bernardino County, California
Memorial	Monuments and memorials, Architecture
Logging	Forestry
Kølig Kaj	1971 births, Living people, Rap musicians, Danish singers
Forbidden Planet (bookstore)	Toys
Tobey Maguire	American movie actors, Vegetarians, Actors from Santa Monica, California, 1975 births, Living people
Chaplain	Religious occupations
Northwestern College	Colleges and universities in Minnesota, Council for Christian Colleges and Universities, Saint Paul, Minnesota, 1902 establishments in the United States, 1900s establishments in Minnesota
Walker (tool)	Tools
George Beverly Shea	American centenarians, American singer-songwriters, Canadian centenarians, Canadian singer-songwriters, Cardiovascular disease deaths in the United States, Deaths from stroke, Musicians from Ontario, Naturalized citizens of the United States, 1909 births, 2013 deaths
James Dobson	1936 births, Living people, American activists, American conservatives, American Evangelicals, American writers, Anti-LGBT rights activists, Christian religious leaders, Christian writers, Focus on the Family, People from Shreveport, Louisiana, Writers from Louisiana
QuickTime	Multimedia software, Graphics software, Apple software, MacOS
Subspecies	Taxonomy
Centrifugal force	Mechanics
Peeter Volkonski	1954 births, Living people, Rock composers, Estonian singers, Movie actors, Rock musicians, Princes and princesses, Television actors, People from Tallinn
Bobby V	1980 births, Living people, Singers from Mississippi, Singers from Atlanta, Georgia, American R&B singers, People from Jackson, Mississippi
Anonymous (song)	2007 songs
Mixed drink	Alcoholic drink
Smash Mouth	American rock bands, Musical groups from California, People from San Jose, California
Cancuén	Archaeological sites in Guatemala, Maya civilization
Rum	Alcoholic spirits
Pridon Khalvashi	1925 births, 2010 deaths, Poets, Writers from Georgia (country)
Western Front (World War I)	1910s in Europe, World War I
Artifact (archaeology)	Archaeology
Coba	Cobá, Cities in Mexico, Maya civilization, Archaeological sites in Mexico, Quintana Roo
Tectonics	Plate tectonics
Tajal Chan Ahk	South American people, Maya civilization, 8th century births, 8th century deaths
Elsa Einstein	1876 births, 1936 deaths, Disease-related deaths in the United States, German people
Creation Museum	Museums in the United States, Christian organizations based in the United States, Buildings and structures in Kentucky
George Whitefield	1714 births, 1770 deaths, Alumni of the University of Oxford, American Calvinists, American Evangelicals, American Methodists, Anglican priests, Christian religious leaders, English Anglicans, English priests, Evangelists, Gloucester, Missionaries, People from Gloucestershire
Timiş River	Rivers of Serbia, Tributaries of the Danube, Rivers of Romania
Communes of Romania	Communes in Romania, Romania-related lists
Municipalities of Romania	Municipalities of Romania
The Way of the Master	Christian organizations
Don't Stop the Music	2007 songs, Rihanna songs, Dance songs
Nick Carter	1980 births, Living people, Singers from New York
Howie Dorough	1973 births, Living people, singers from Florida
A. J. McLean	Singers from Florida, 1978 births, Living people
Brian Littrell	Singers from Kentucky, 1975 births, Living people
Kevin Richardson	Singers from Kentucky, 1971 births, Living people
Spanish conquest of Yucatán	History of Mesoamerica, 1546
Becquerel	Units of measurement
Popol Vuh	Religious texts, Maya civilization, Creation myths
North Berwick	Towns in Scotland
Jean-Luc Picard	Star Trek: The Next Generation characters
McCune-Reischauer	Romanization
Revised Romanization of Korean	Writing systems, Romanization, ISO standards
Lake Annecy	Lakes of France, Auvergne-Rhône-Alpes
Haute-Savoie	Departments in Auvergne-Rhône-Alpes
Chartres Cathedral	Cathedrals in France, Roman Catholic Cathedrals, Centre-Val de Loire, World Heritage Sites in France
Lough Neagh	Lakes of the United Kingdom, Northern Ireland
Intel Core 2	Computer processors
Deanna Troi	Star Trek: The Next Generation characters
Soulcalibur	1998 video games, Arcade games, Dreamcast games, Xbox 360 Live Arcade games, Soulcalibur series
Disney's Aladdin Junior	Broadway musicals, Musicals based on fairy tales, Musicals based on movies, Musicals by Tim Rice
Polynomial	Mathematics, Algebra
Unknown (math)	Algebra, Science
Agnieszka Włodarczyk	Polish movie actors, Polish singers, Polish television actors, Pop musicians, 1980 births, Living people
The Last of the Clan McDuck	DuckTales
The Master of the Mississippi	DuckTales
The Richest Duck in the World	DuckTales
Online pharmacy	Medicine, Drugs
Juan Egenau	1927 births, 1987 deaths, Chilean sculptors, People from Santiago
Foramen magnum	Head (body part)
Bipedalism	Physiology, Anatomy
Taung Child	Hominins, Fossils, Prehistoric Africa
Dennis Rodman	African-American basketball players, Chicago Bulls players, Dallas Mavericks players, Detroit Pistons players, Los Angeles Lakers players, San Antonio Spurs players, Sportspeople from New Jersey, 1961 births, Living people, National Basketball Association players with retired numbers, American basketball players
Coconut water	Drinks, Coconuts
Ralph Ellison	Writers from Oklahoma, 1913 births, 1994 deaths
Federal government of the United States	Government of the United States
Draco Malfoy	Harry Potter characters, Fictional characters introduced in 1997
PCLinuxOS	Linux distributions, Live CD
Nutrition	Nutrition, Healthy lifestyle, Physiques
Lei (Hawaii)	Culture of Hawaii, Flowers
Orchid	Orchids
Steve Buscemi	1957 births, Living people, Actors from Brooklyn, American movie actors, American television actors, American television directors, American voice actors, Emmy Award winning actors, Golden Globe Award winning actors, Movie directors from New York City, Movie producers from New York City, Screenwriters from New York City
Closet	Furniture
FreeDOS	Operating systems
List of The Buzz on Maggie Episodes	Lists of animated television series episodes
Coahoma County, Mississippi	Mississippi counties, 1836 establishments in Mississippi
Province of Trento	Autonomous areas, Tyrol, Provinces of Trentino-Alto Adige/Südtirol
King Power Stadium	Football stadiums in England
Botoșani	County capitals of Romania
Little Ice Age	Climate change
Trade route	Business
Zircon	Gemstones, Minerals
Labradorite	Gemstones, Minerals
Beryl	Gemstones, Minerals
Hallstatt	Cities and towns in Upper Austria
Mayflower Compact	Official documents of the United States, 1620, 1620s in the Thirteen Colonies, November events
John Piper (theologian)	1946 births, Living people, American Baptists, American Calvinists, Christian writers, People from Chattanooga, Tennessee, Writers from South Carolina, Writers from Tennessee
Bill Gates	1955 births, Living people, American agnostics, American billionaires, American chief executives, American philanthropists, Bill Gates, Harvard University alumni, Microsoft people, Writers from Seattle, Washington, Businesspeople from Seattle, Washington, Recipients of the Order of the Aztec Eagle, Recipients of the Order of the Rising Sun, Time People of the Year, American company founders, Honorary Knights Commander of the Order of the British Empire
Fibula (brooch)	Archaeology, Jewelry
United States Supreme Court building	Buildings and structures in Washington, D.C.
Bethlehem Baptist Church (Minneapolis)	Baptist churches, Churches in the United States, Minneapolis, Minnesota, 1871 establishments in the United States, 19th-century establishments in Minnesota
Megachurch	Churches
Medieval Warm Period	Middle Ages, Climate
Motor sports	Motor sports
Niagara IceDogs	Canadian Hockey League teams, Ice hockey teams in Ontario, Ontario Hockey League, 1998 establishments in Canada
Haan	Towns in North Rhine-Westphalia, Mettmann Rural District
Gas chamber	Torture, Capital punishment
Impact Wrestling	2002 establishments in the United States, Impact Wrestling
Battle of the Bulge	1944 in Europe, 1945 in Europe, European battles of World War II, 20th century in Belgium, History of Luxembourg, Wallonia, Liège (province), Luxembourg (Belgium), Namur (province)
Nothing	Matter
Moon	Moon, Basic English 850 words

