Positron emission tomography	Medical imaging
Madonna Buder	1930 births, Living people, American Olympians, American Roman Catholics, Sportspeople from Missouri, People from St. Louis, Missouri
Star Jalsha	Indian television, Television channels
Belfast International Airport	Airports in the United Kingdom, Buildings and structures in Northern Ireland, Transport in Northern Ireland
Jessica Falkholt	1988 births, 2018 deaths, Road accident deaths, Australian movie actors, Australian television actors, Australian stage actors, Actors from Sydney
Flag of Morocco	National flags, Morocco, 1915 establishments, 1910s establishments in Africa, 20th-century establishments in Morocco
Flag of Ivory Coast	National flags, Ivory Coast
Flag of Burkina Faso	National flags, Burkina Faso, 1984 establishments, 1980s establishments in Africa
Flag of Togo	National flags, Togo
Richwiller	Communes in Haut-Rhin
Oriental Pearl Tower	Buildings and structures in Shanghai, Towers in Asia, 1994 establishments in Asia, 1990s establishments in China, Buildings and structures completed in the 20th century
Bodhu Kon Alo Laaglo Chokhe	Soap operas, Indian television series, 2012 television series debuts, 2012 establishments in India, 2014 Indian television series endings
Miguel Díaz-Canel	1960 births, Living people, Presidents of Cuba, Current national leaders, Vice presidents
Anerood Jugnauth	1930 births, 2021 deaths, Presidents of Mauritius, Prime Ministers of Mauritius
Fletcher Thompson	1925 births, Living people, American lawyers, United States representatives from Georgia, Politicians from Atlanta, Georgia, US Republican Party politicians
Benjamin B. Blackburn	1927 births, Living people, United States representatives from Georgia, Politicians from Atlanta, Georgia, US Republican Party politicians
Jack Thomas Brinkley	1930 births, 2019 deaths, Deaths from myocardial infarction, United States representatives from Georgia, American conservatives, US Democratic Party politicians
Elliott H. Levitas	1930 births, Living people, United States representatives from Georgia, Politicians from Atlanta, Georgia, US Democratic Party politicians
J. Roy Rowland	Living people, 1926 births, United States representatives from Georgia, American physicians, US Democratic Party politicians
Cato Street conspiracy	1820, Punishments, Politics of the United Kingdom, 1820s in the United Kingdom
Flag of Senegal	National flags, Senegal
Flag of Niger	National flags, Niger
Flag of Norway	National flags, Norway
Flag of Iceland	National flags, Iceland
Riedisheim	Communes in Haut-Rhin
Tschiertschen-Praden	2009 establishments in Switzerland, Municipalities of Graubünden
Flag of Somalia	National flags, Somalia
Hashem Asad Allah	1985 births, Living people
Kache Aye Shoi	Indian television series, 2013 television series debuts, 2013 establishments in India, 2014 Indian television series endings
Tumi Robe Nirobe	2014 Indian television series debuts, 2016 television series endings, Indian television series, 2010s disestablishments in India
Rannaghor	Indian television series
2018 Hawaii false missile alert	February 2018 events, 2018 in Hawaii
Doodhnath Singh	1936 births, 2018 deaths, Deaths from prostate cancer, Cancer deaths in India, Indian academics, Indian playwrights, Indian poets, Indian novelists, Indian critics, People from Uttar Pradesh
Yılmaz Onay	1937 births, 2018 deaths, Deaths from stomach cancer, Turkish writers, Novelists, Playwrights, Critics, Artists
Stephane Gauger	1969 births, 2018 deaths, Deaths from stroke, Cardiovascular disease deaths in Los Angeles, Vietnamese people, Naturalized citizens of the United States, American cinematographers, Movie directors from California, Screenwriters from California
Claude Lelouch	Academy Award winning writers, 1937 births, Living people, French movie actors, French screenwriters, Cinematographers, Movie directors from Paris, Writers from Paris
Tschiertschen	Villages in Graubünden, Former municipalities of Graubünden
Flag of Gabon	National flags, Gabon
Flag of Eswatini	National flags, Eswatini
Spanky Manikan	1942 births, 2018 deaths, Deaths from lung cancer, Filipino actors, Filipino movie actors, Stage actors, Filipino television actors, People from Manila
Flag of Namibia	National flags, Namibia
Mohammed Hazzaz	1945 births, 2018 deaths, Moroccan footballers
Flag of Rwanda	National flags, Rwanda
Jeraldine Saunders	1923 births, 2019 deaths, Deaths from surgical complications, Deaths from kidney disease, American television writers, American columnists, American educators, Models from Los Angeles, California, Writers from Los Angeles, California
Albert Dekker	1905 births, 1968 deaths, Accidental deaths from erotic asphyxiation, Accidental deaths in the United States, American movie actors, American stage actors, American radio actors, Politicians from New York City, Politicians from California, Actors from New York City, Actors from California, US Democratic Party politicians, State legislators of the United States
Stephen Milligan	1948 births, 1994 deaths, Accidental deaths from erotic asphyxiation, Accidental deaths in the United Kingdom, British journalists, Writers from Surrey
William Howard Taft High School (Chicago)	Schools in Illinois, William Howard Taft
Lane Technical College Prep High School	Schools in Illinois
Mark Herring	1961 births, Living people, American lawyers, Politicians from Virginia, Politicians from Tennessee, US Democratic Party politicians
Victoria, Grenada	Towns in North America, Grenada
Steve Smith (cricketer)	Australian cricketers, Living people, 1989 births
Doug Harvey (umpire)	1930 births, 2018 deaths, Deaths from esophageal cancer, Cancer deaths in California, Sportspeople from San Diego, California
Jean Porter	1922 births, 2018 deaths, Deaths from natural causes, Disease-related deaths in California, American movie actors, American child actors, American television actors, Actors from Texas, Actors from California
Engels, Saratov Oblast	Cities in Russia
Saratov Oblast	Oblasts of Russia, Politics, Federal subjects of Russia
Nina Turner	1967 births, Living people, American progressives, Politicians from Cleveland, Ohio, US Democratic Party politicians, State legislators of the United States
Jim Hightower	1943 births, Living people, American columnists, American progressives, American political activists, Writers from Texas, Politicians from Texas, US Democratic Party politicians, People from Denison, Texas, American bloggers
Doreen Tracey	1943 births, 2018 deaths, Actors from London, American child actors, American models, American movie actors, American television actors, Cancer deaths in California, Deaths from pneumonia, Disease-related deaths in California, Models from London
Cyrille Regis	1958 births, 2018 deaths, Deaths from cardiac arrest, English footballers, Premier League players
Northerly Island	Parks in Chicago
Birobidzhan	Cities in Russia, Capital cities in Russia
Ray Anthony	1922 births, Living people, Trumpeters, American songwriters, American jazz musicians, American movie actors, American bandleaders, Musicians from Pennsylvania, Actors from Pennsylvania, Writers from Pennsylvania
DARPA	Military of the United States, Research organizations in the United States, Technology
Fritter	Fried foods
Ke Apon Ke Por	Indian television series, 2016 Indian television series debuts
Rozendaal	Municipalities of Gelderland, Settlements in Gelderland
Lillian Cox	1907 births, 2018 deaths, American supercentenarians, People from Tallahassee, Florida, People from Texas
Jean-Louis Koszul	1921 births, 2018 deaths, French mathematicians
Masahito, Prince Hitachi	1935 births, Princes and princesses, Living people, People from Tokyo
Atsuko Ikeda	1931 births, Living people, Japanese people, Princes and princesses
Dolores O'Riordan	1971 births, 2018 deaths, Accidental deaths by drowning, Drug-related deaths in the United Kingdom, Irish guitarists, Irish rock musicians, Irish singer-songwriters, Irish television personalities, People from Limerick, People with bipolar disorder
Bobby Rush	1946 births, Living people, African American politicians, United States representatives from Illinois, American civil rights activists, Politicians from Chicago, Politicians from Georgia (U.S. state), US Democratic Party politicians
Danny K. Davis	1941 births, Living people, United States representatives from Illinois, Democratic socialists, Politicians from Arkansas, Politicians from Chicago, US Democratic Party politicians
Bobby Rush (musician)	1933 births, Living people, American blues musicians, American composers, American rap musicians from Illinois, American funk musicians, Musicians from Louisiana, Musicians from Arkansas, American funk singers, Musicians from Chicago, Singers from Louisiana, Singers from Arkansas, Singers from Chicago, People from Pine Bluff, Arkansas
Flag of Sudan	National flags, Sudan
Edwin Hawkins	1943 births, 2018 deaths, 20th century composers, 21st century composers, African American musicians, African-American singers, American composers, American gospel musicians, American gospel singers, American Pentecostals, American pianists, Singers from Oakland, California, Cancer deaths in California, Deaths from pancreatic cancer, Grammy Award winners, Musicians from Oakland, California
Erling Mandelmann	2018 deaths, 1935 births, Deaths from aortic aneurysm, Cardiovascular disease deaths in France, Photographers, Danish journalists, People from Copenhagen
Viktor Anpilov	1945 births, 2018 deaths, Deaths from stroke, Russian politicians, Political activists, Russian communists
Bella Emberg	1937 births, 2018 deaths, English television actors, English movie actors, Actors from Sussex
Ogun State	1976 establishments in Africa, States of Nigeria
Bruno Latour	1947 births, Living people, People from Bourgogne-Franche-Comté, French sociologists, French academics, French philosophers, French Roman Catholics, French essayists, Continental philosophers
Battle of the Dnieper	1943 in Europe, Battles involving Germany, Battles involving the Soviet Union, 1940s in the Soviet Union, European battles of World War II, History of Belarus, 20th century in Ukraine
Ashish Sharma	Indian movie actors, Living people, 1984 births
Polsheer House	Pages created with the Article Wizard from 2018
Lou Barletta	1956 births, Living people, Businesspeople from Pennsylvania, American mayors, United States representatives from Pennsylvania, US Republican Party politicians
Le Haut-Soultzbach	2016 establishments in France, Communes in Haut-Rhin
Max Labovitch	1924 births, 2018 deaths, New York Rangers players, Sportspeople from Winnipeg, Eastern Hockey League players
Joe Frank	1938 births, 2018 deaths, Deaths from kidney cancer, Cancer deaths in California, American radio personalities, People from Strasbourg
Óscar Pérez	1981 births, 2018 deaths, Assassinated people, Deaths by firearm, Political activists, Terrorists, People from Caracas
Manasha	2018 Indian television series debuts, Indian television series
Madalena Iglésias	1939 births, 2018 deaths, Portuguese singers, Portuguese movie actors, Portuguese television actors, Portuguese stage actors, Portuguese voice actors, Eurovision Song Contest entrants, People from Lisbon
Hugh Wilson	Emmy Award winners, 1943 births, 2018 deaths, Deaths from emphysema, Cancer deaths in Virginia, American movie directors, American screenwriters, American television directors, American television producers, American television writers, Writers from Miami, Florida
Oliver Ivanović	1953 births, 2018 deaths, Assassinated people, Kosovan people, Politicians, Political activists
Henry B. Eyring	1933 births, Living people, American educators, American Latter Day Saints, Christian religious leaders, Christian writers, Writers from New Jersey, People from Princeton, New Jersey
Jo Jo White	1946 births, 2018 deaths, Deaths from pneumonia, Deaths from dementia, Disease-related deaths in Massachusetts, People with cancer, Boston Celtics players, Golden State Warriors players, Sacramento Kings players, American Olympic gold medalists, Sportspeople from St. Louis, Missouri, National Basketball Association players with retired numbers
Tom Heinsohn	1934 births, 2020 deaths, Boston Celtics players, National Basketball Association coaches, Sportspeople from New Jersey, People from Jersey City, New Jersey, National Basketball Association players with retired numbers
Ted Owens (basketball)	1929 births, Living people, Sportspeople from Oklahoma
Paul Gérin-Lajoie	1920 births, 2018 deaths, Canadian lawyers, Canadian philanthropists, Politicians from Montreal
Air gap (networking)	Computer networking
Bhim Singh Thapa	Nepalese people, 1959 deaths, Year of birth missing
Tug of war	Games
Zofis and Koko	Anime, Anime characters
Zuoz	Municipalities of Graubünden
Flag of Madagascar	National flags, Madagascar
Flag of Bosnia and Herzegovina	National flags, Bosnia and Herzegovina
Riedwihr	Former communes in Haut-Rhin, 2016 disestablishments in France
Karl-Heinz Kunde	1938 births, 2018 deaths, German cyclists, People from Cologne, Sportspeople from North Rhine-Westphalia
George Bandy	1945 births, 2018 deaths, Deaths from pulmonary fibrosis, Politicians from Alabama, US Democratic Party politicians, State legislators of the United States
Steve Guttenberg	1958 births, Actors from New York City, American movie actors, American television actors, Jewish American actors, People from Brooklyn, Jewish American writers, Living people
Glen Sather	1943 births, Boston Bruins players, Canadian ice hockey left wingers, Hockey Hall of Fame inductees, Ice hockey people from Alberta, Jack Adams Award winners, Living people, Minnesota North Stars players, Montreal Canadiens players, New York Rangers players, Pittsburgh Penguins players, Sportspeople from Alberta, Stanley Cup champions, St. Louis Blues players, World Hockey Association players
Khoo Chin-bee	1977 births, Female tennis players, Living people, Malaysian sportspeople
Pakistan's Message	Government of Pakistan
Soyarabai	1680 deaths, Indian murder victims, Year of birth unknown
Black Country	West Midlands (county)
Alma, Arkansas	Cities in Arkansas
Kevin J Worthen	1956 births, Living people
Guinea-Bissau war of Independence	Wars of independence, Wars involving Portugal
Abdul Khaliq Hazara	Hazara people, Persian people, People from Kabul
Esther Mahlangu	1935 births, South African people
Luc Beyer de Ryke	1933 births, 2018 deaths, Alderman of Belgium, Belgian journalists, Belgian writers, Deaths from cardiovascular disease, Former MEPs, MEPs for Belgium, People from Ghent, Television presenters, Disease-related deaths in France
Molinis	Former municipalities of Graubünden
Peist	Former municipalities of Graubünden
Saas im Prättigau	Former municipalities of Graubünden
St. Antönien Ascharina	Villages in Graubünden, Former municipalities of Graubünden
Flag of the Central African Republic	National flags, Central African Republic
Saint-Louis, Haut-Rhin	Communes in Haut-Rhin
Joyee	Indian television series, 2017 Indian television series debuts
Khanaspur	Towns in Pakistan
Sorry, Wrong Number	1948 movies, 1940s thriller movies, English-language movies, American thriller movies, Movies directed by Anatole Litvak
John Pierik	1949 births, 2018 deaths, Dutch Olympians, Sportspeople from Overijssel
Roderick Rijnders	1941 births, 2018 deaths, Dutch sportspeople, Olympic silver medalists, People from Batavia, Rowers
Bill Bain	1937 births, 2018 deaths, Deaths from Alzheimer's disease, Disease-related deaths in Florida, Republicans (United States), Businesspeople from Boston, Massachusetts, People from Tennessee
Peter Groeger	1933 births, 2018 deaths, East German people, German movie actors, German stage actors, German television actors, German voice actors, People from Saxony-Anhalt
Ishfaq Ahmad	1930 births, 2018 deaths, Pakistani people, Physicists, Pakistani educators
Augusto Polo Campos	1932 births, 2018 deaths, Deaths from diabetes, Composers, Peruvian people
Chick Webster	1920 births, 2018 deaths, Canadian ice hockey centres, Eastern Hockey League players, New York Rangers players, Sportspeople from Toronto
Bradford Dillman	1930 births, 2016 deaths, Deaths from pneumonia, Infectious disease deaths in California, American movie actors, American television actors, American stage actors, American voice actors, Actors from San Francisco, Writers from San Francisco
Bhimsen Thapa	1775 births, 1839 deaths, Nepalese politicians
Geo Super	Television channels
Concours Advance	Engineering schools, Colleges and universities in France, 2011 establishments in France

