Land grant	Business, Property
File sharing	File sharing, Computer science, Internet
Ammonium sulfide	Sulfur compounds, Nitrogen compounds
Metre per second	Velocity, Units of measurement, SI units
Hydroxide	Chemistry
Cyclone	Natural events, Severe weather
Eye (cyclone)	Tropical cyclones
Glasgow Coma Scale	Psychiatry, Medicine
House of Habsburg	Habsburg Dynasty
Rhodesia	States and territories established in the 1960s, History of Zimbabwe, 1965 establishments, 1960s establishments in Africa, 1980 disestablishments, 1960s in Africa, 1970s in Africa
Westminster	Westminster
Ostara	Religious festivals
Megalosaurus	Megalosauridae
Parliament of the United Kingdom	Politics of the United Kingdom, National legislatures
Silicon dioxide	Chemical compounds, Oxides
Metallic hydrogen	Alkali metals
Giovanni Domenico Cassini	1625 births, 1712 deaths, Astrologers, French astronomers, French engineers, French esotericists, Italian astronomers, Italian esotericists
Christiaan Huygens	1629 births, 1695 deaths, Dutch astronomers, Dutch mathematicians, Dutch physicists, Dutch inventors, People from The Hague, Theoretical physicists
Hyperion (moon)	Saturn's moons
Iapetus (moon)	Saturn's moons
Nadezhda Mandelstam	1899 births, 1980 deaths, Russian Jews, Russian writers, Soviet Jews, Soviet writers, Writers from Kiev
Andrew Carnegie	1835 births, 1919 deaths, Deaths from pneumonia, American philanthropists, Businesspeople from New York City, People from Dunfermline, Massachusetts Republicans
German Bundesrat	German Bundesrat, Politics of Germany, Parliaments
Minister-President	Government occupations, Titles
Edward Rendell	1944 births, Living people, Governors of Pennsylvania, Mayors of Philadelphia, Jewish American politicians, Politicians from New York City
Jacques de Morgan	1857 births, 1924 deaths, French archaeologists, French geologists
Struthiomimus	Coelurosaurs
Prehistoric Armenia	History of Armenia
Royal Albert Hall	Concert halls in London
Home run	Baseball rules, Baseball statistics
City-state	Political geography, City-states
Junior Eurovision Song Contest	Junior Eurovision Song Contest, 2003 establishments in Europe
Styracosaurus	Ceratopsids
School colors	Educational institutions
Maya	Given names
Hebrew calendar	Calendars, Judaism
Moldavia	Geography of Ukraine, Moldova, Romania, Ottoman Empire
